img	comment	related text	question	answer
19764-wooded.jpg	This is a mature picture of the artist, depicting a wooded landscape with travellers on a track by a cottage, a rider and his dogs on the right, and two peasants and a horse-drawn cart on the left. In many of his mature works Hobbema depicts the predominately wooded landscape and characteristic timber-framed vernacular architecture of Gelderland and other parts of the Eastern Netherlands			
		In many of his mature works Hobbema depicts the predominately wooded landscape and characteristic timber-framed vernacular architecture of Gelderland and other parts of the Eastern Netherlands	What does Hobbema depict the predominately wooded landscape and characteristic timber-framed vernacular architecture of Gelderland and other parts of the Eastern Netherlands in?	in many of his mature works
38910-01martyx.jpg	To the testament of Andrea Stazio, a Venetian nobleman who died in 1722, we owe a cycle of paintings of great importance in the history of Venetian art. The will provided that twelve canvases should be painted for the church of San Stae (Venetian for St Eustace). All similar in size, they depict episodes in the lives of the Apostles and their martyrdom. The commission was given to twelve different Venetian painter, ranging from the aged Nicol&#242; Bambini, then seventy-one, through to Giambattista Tiepolo, almost at the start of his career.All the paintings were completed within a few months, in 1722 and early 1723. The artists were the following in alphabetic order: Antonio Balestra, Nicol&#242; Bambini, Gregorio Lazzarini, Silvestro Manaigo, Giambattista Mariotti, Giovanni Antonio Pellegrini, Giambattista Piazzetta, Giambattista Pittoni, Sebastiano Ricci, Giambattista Tiepolo, Angelo Trevisano and Pietro Uberti. They vied with each other to transform the church into a remarkable showcase of currents and developments in eighteenth-century Venetian art.Tiepolo's painting is part of the cycle of the Apostles which as a 'collective exhibition' fortunately remained intact in the choir of the Baroque church San Stae, giving an outline of Venetian painting of the period. The subject of the painting is the martyrdom of St Bartholomew, whose tormentors are on the point of flaying him alive. The awfulness of the scene is matched by the extremely powerful composition which places the writhing body of the saint along the diagonal between the two henchmen. The eerie contrast between light and shade makes the scene all the more vivid. The expressive gesture with which the despairing saint stretches his arm heavenward transforms the picture into a wonderful depiction of divine grace, the existence of which is already signaled by the bright light emanating from above.This painting was inspired by Piazzetta and is placed opposite his St James in San Stae, and it is almost its mirror image. As in the other work, the structure dynamically offsets conflicting forces, rendered by means of a chiastic arrangement of diagonals and clear contrasts of light and shade			
		They vied with each other to transform the church into a remarkable showcase of currents and developments in eighteenth-century Venetian art.	Who vied with each other to transform the church into a remarkable showcase of currents and developments in eighteenth-century Venetian art?	they
		The expressive gesture with which the despairing saint stretches his arm heavenward transforms the picture into a wonderful depiction of divine grace, the existence of which is already signaled by the bright light emanating from above.	What transforms the picture into a wonderful depiction of divine grace?	the expressive gesture with which the despairing saint stretches his arm heavenward
		The eerie contrast between light and shade makes the scene all the more vivid.	What does the eerie contrast between light and shade make all the more vivid?	the scene
		The expressive gesture with which the despairing saint stretches his arm heavenward transforms the picture into a wonderful depiction of divine grace, the existence of which is already signaled by the bright light emanating from above.	What is divine grace?	the existence of which is already signaled by the bright light emanating from above
		To the testament of Andrea Stazio, a Venetian nobleman who died in 1722, we owe a cycle of paintings of great importance in the history of Venetian art.	Who is Andrea Stazio?	a Venetian nobleman who died in 1722
		As in the other work, the structure dynamically offsets conflicting forces, rendered by means of a chiastic arrangement of diagonals and clear contrasts of light and shade	What contrasts of light and shade?	the structure dynamically offsets conflicting forces
26259-winckelm.jpg	Johann Winckelmann is an archaeologist and an art historian who is regarded as the father of modern archaeology because of his studies of the excavations of Pompeii and Herculaneum in Italy.He wrote the formative essay, Gedanken �ber die Nachahmung der griechischen Werke in der Malerei und Bildhauerkunst (1755; Reflections on the Painting and Sculpture of the Greeks, 1765), in which he maintained, 'The only way for us to become great, or even inimitable if possible, is to imitate the Greeks.' His essay became a manifesto of the Greek ideal in education and art and was soon translated into several languages. His general Geschichte der Kunst des Altertums (1764; History of the Art of Antiquity) is virtually the first work to define in ancient art an organic development of growth, maturity, and decline			
