img	comment	related text	question	answer
18472-hermit.jpg	This moralizing genre painting is more overtly religious and Catholic than most of the artist's paintings. The scene is set in a rocky landscape, where the central figure, an elderly Capuchin friar, sits distributing rosaries to large group of girls and young women. The girls are bringing food to the hermit and, in return, he is giving them rosaries and votary medals, which he takes from a box held by a handsome young friar. The girls are dressed in ordinary gowns, apart from the two closest to the hermit who are all in white; they are receiving rosaries from him in preparation for their confirmation.The theme is one of charity, generosity and virtue: the young women are taking physical care of the hermit and he, in return, is giving them spiritual rewards			
		The girls are bringing food to the hermit and, in return, he is giving them rosaries and votary medals, which he takes from a box held by a handsome young friar.	What does the hermit take from?	from a box held rosaries and votary medals by a handsome young friar
		The theme is one of charity, generosity and virtue: the young women are taking physical care of the hermit and he, in return, is giving them spiritual rewards	What is the theme?	one of charity, generosity and virtue
		The scene is set in a rocky landscape, where the central figure, an elderly Capuchin friar, sits distributing rosaries to large group of girls and young women.	What is set in a rocky landscape?	the scene
		The theme is one of charity, generosity and virtue: the young women are taking physical care of the hermit and he, in return, is giving them spiritual rewards	Who is giving young women spiritual rewards?	the hermit
		This moralizing genre painting is more overtly religious and Catholic than most of the artist's paintings.	What is more overtly religious and Catholic than most of the artist's paintings?	this moralizing genre painting
		The girls are bringing food to the hermit and, in return, he is giving them rosaries and votary medals, which he takes from a box held by a handsome young friar.	Who are bringing food to the hermit?	the girls
23119-11sorrow.jpg	The painting was the right panel of a diptych, the left panel being a half-length standing Madonna with the Child. The composition of the Man of Sorrow is based on a prototype small mosaic icon executed around 1300 in the Santa Croce in Gerusalemme in Rome. The panel is signed on the lower part of the frame: PETRUS LAVRETII DE SENI ME PIXI			
		The painting was the right panel of a diptych, the left panel being a half-length standing Madonna with the Child.	What was the left panel being a half-length standing Madonna?	the diptych
		The painting was the right panel of a diptych, the left panel being a half-length standing Madonna with the Child.	What was the painting with the Child?	the right panel of a diptych
		The painting was the right panel of a diptych, the left panel being a half-length standing Madonna with the Child.	What was the painting the right panel of with the Child?	of a diptych
		The painting was the right panel of a diptych, the left panel being a half-length standing Madonna with the Child.	Who was the painting the right panel of a diptych with?	with the Child
		The composition of the Man of Sorrow is based on a prototype small mosaic icon executed around 1300 in the Santa Croce in Gerusalemme in Rome.	What is the composition of the Man of Sorrow based on?	on a prototype small mosaic icon executed around 1300 in the Santa Croce in Gerusalemme in Rome
		The composition of the Man of Sorrow is based on a prototype small mosaic icon executed around 1300 in the Santa Croce in Gerusalemme in Rome.	What is based on a prototype small mosaic icon executed around 1300 in the Santa Croce in Gerusalemme in Rome?	the composition of the Man of Sorrow
34652-labievre.jpg	Although it was primarily his classical landscapes which established Robert's reputation, Robert was also a faithful recorder of the topography of Paris. The Bi�vre was a small river which ran into the larger river Seine on Paris' left bank. Although no longer visible today, in Robert's day it was used for a variety of local industries, including textile dyers, distilleries, breweries, tanners, flour mills, a soap factory and twelve laundries. The quarter surrounding it was one of the poorest in Paris and notorious for its slums.The painting is signed and dated lower right: .H ROBERT: 1768.			
		Although no longer visible today, in Robert's day it was used for a variety of local industries, including textile dyers, distilleries, breweries, tanners, flour mills, a soap factory and twelve laundries.	Who was used for a variety of local industries in Robert's day?	the Bivre
		The Bivre was a small river which ran into the larger river Seine on Paris ' left bank.	Who was a small river which ran into the larger river Seine on Paris ' left bank?	the Bivre
		The painting is signed and dated lower right:.	What is dated lower right:?	the painting
		Although it was primarily his classical landscapes which established Robert's reputation, Robert was also a faithful recorder of the topography of Paris.	Who was also a faithful recorder of the topography of Paris?	Robert
		Although it was primarily his classical landscapes which established Robert's reputation, Robert was also a faithful recorder of the topography of Paris.	What was Robert also a faithful recorder of?	of the topography of Paris
		Although it was primarily his classical landscapes which established Robert's reputation, Robert was also a faithful recorder of the topography of Paris.	What was Robert also?	a faithful recorder of the topography of Paris
44058-8ambierl.jpg	When Rogier died in Brussels on 18 June 1464, he was the best known and most sought after painter in the Netherlands, an exemplar to the majority of artists north of the Alps. He left behind him not only an obviously large workshop with extremely well trained assistants, but also a continuing demand for his work. The studio was very probably taken over by his son Pieter; it will have completed commissions on which he had embarked, also accepting new orders. One of these works, possibly commissioned in Rogier's own lifetime, consisted of the wing paintings for an altar in Ambierle in France, completed in 1466. It has been proved that the carved central shrine of this altar came from Brussels. The distinguished patrons in Brussels who commissioned it obviously turned to the town painter's famous workshop, where large and impressive paintings similar in typology to Rogier's own were produced, although certainly no longer by the master himself.The altar was donated by Michel de Chaugy, a counsellor of Philip the Good. The shrine in the retable shows carved scenes of the Passion; the donor's family, with its patron saints, occupies the wings. Stone figures of saints are depicted in niches on the exterior. In its construction, this work reflects the exterior of the Beaune Altarpiece			
		The altar was donated by Michel de Chaugy, a counsellor of Philip the Good.	Who was Michel de Chaugy?	a counsellor of Philip the Good
		The studio was very probably taken over by his son Pieter; it will have completed commissions on which he had embarked, also accepting new orders.	Who accepted new orders?	Rogier
		When Rogier died in Brussels on 18 June 1464, he was the best known and most sought after painter in the Netherlands, an exemplar to the majority of artists north of the Alps.	Who died in Brussels on 18 June 1464?	Rogier
		The studio was very probably taken over by his son Pieter; it will have completed commissions on which he had embarked, also accepting new orders.	What did Rogier accept?	new orders
		The studio was very probably taken over by his son Pieter; it will have completed commissions on which he had embarked, also accepting new orders.	What will the studio have completed on which Rogier had embarked?	commissions
		The shrine in the retable shows carved scenes of the Passion; the donor's family, with its patron saints, occupies the wings.	Who is the donor's family with?	with the donor's patron saints
41001-092parle.jpg	This painting - a cross between a polyptych and an altarpiece - was executed for the Grande Chambre of the Parlement of Paris by a painter native of Flanders or the north of France. The frame, forming five lunettes, recalls the compartments of a polyptych. However, the surface of the painting is occupied by a single, united landscape showing the Paris of the time.The unknown painter is referred to as the Master of Dreux Bud�			
		The frame, forming five lunettes, recalls the compartments of a polyptych.	How many lunettes does the frame form?	five lunettes
