img	comment	related text	question	answer
23129-2chapte5.jpg	This fresco is one of the four main scenes in the Chapter House of San Francesco, Siena. The scenes were, as described in 1855: the Crucifixion and the Resurrected Christ by Pietro Lorenzetti on the end wall, and Pope Boniface VIII receiving St Louis of Toulouse as a Novice and the Martyrdom of the Franciscans by Ambrogio Lorenzetti			
		This fresco is one of the four main scenes in the Chapter House of San Francesco, Siena.	Who is Siena?	San Francesco
		This fresco is one of the four main scenes in the Chapter House of San Francesco, Siena.	What is one of the four main scenes in the Chapter House of San Francesco?	this fresco
		This fresco is one of the four main scenes in the Chapter House of San Francesco, Siena.	What is San Francesco?	Siena
35110-harbour1.jpg	This painting is the companion piece of Salvator Rosa's Harbour with Ruins			
		This painting is the companion piece of Salvator Rosa's Harbour with Ruins	What is the companion piece of Salvator Rosa's Harbour with Ruins?	this painting
09240-charles2.jpg	One of the most important tasks of a court painter in the age of absolutism was portraiture, either in the form of an individual, family or group portrait. Most of these commissioned works were sent to other royal houses. Whatever the occasion in each respective case, a portrait of this kind invariably had the primary function of representing the court.Coello's unfinished portrait of King Charles II gives us an opportunity of seeing how the artist worked. The three-quarter profile of the young king is set in a medallion. Coello has concentrated on depicting the brilliance of the shining armour and the rich folds of the bow, using free and spontaneous brush-strokes. Reproductions of a portrait of Charles II from the St&#228;del in Frankfurt, lost in 1945, suggests that Coello toned down these lavish details somewhat in a later version. In comparison to paintings of Alsonso S�nchez Coello, who had worked for the Spanish court a hundred years earlier, Claudio Coello's view of the monarch has little of the stringency of courtly ceremony. He is the last major representative of the Spanish tradition of painting that reached its climax in the Mannerism of the 16th century			
		Coello has concentrated on depicting the brilliance of the shining armor and the rich folds of the bow, using free and spontaneous brush-strokes.	Who uses free and spontaneous brush-strokes?	Coello
		In comparison to paintings of Alsonso Snchez Coello, who had worked for the Spanish court a hundred years earlier, Claudio Coello's view of the monarch has little of the stringency of courtly ceremony.	What does Claudio Coello's view of the monarch have little of the stringency of courtly ceremony in?	in comparison to paintings of Alsonso Snchez Coello
		He is the last major representative of the Spanish tradition of painting that reached its climax in the Mannerism of the 16th century	What is the monarch the last major representative of?	of the Spanish tradition of painting that reached Claudio Coello's view of the monarch's climax in the Mannerism of the 16th century
		Reproductions of a portrait of Charles II from the St &#228; del in Frankfurt, lost in 1945, suggests that Coello toned down these lavish details somewhat in a later version.	When are reproductions lost?	in 1945
		Most of these commissioned works were sent to other royal houses.	What were sent to other royal houses?	most of these commissioned works
		He is the last major representative of the Spanish tradition of painting that reached its climax in the Mannerism of the 16th century	Who is the last major representative of the Spanish tradition of painting that reached Claudio Coello's view of the monarch's climax in the Mannerism of the 16th century?	the monarch
37636-meeting.jpg	This small painting is a preparatory study for the frescoes in Montecassino (now destroyed)			
		This small painting is a preparatory study for the frescoes in Montecassino (now destroyed)	What is a preparatory study for the frescoes in Montecassino?	this small painting
24860-charles.jpg	There is a dignity in this portrait, in which intense shades of red predominate, which makes it the worthy representation of a cardinal and 'Prince of the Church'. His face reflects the devotion and concentration appropriate to the act of prayer, combined, however, with the authority of worldly knowledge and political skill. It was not for nothing that Louis XI of France invited him to act as his son's godfather, or helped him to become Archbishop of Lyons; indeed he spared no effort to gain the support of the Bourbons, one of the country's greatest noble families, to which the Cardinal belonged. This important figure of the second half of the fifteenth century found in the Master of Moulins a portraitist worthy of his position			
		His face reflects the devotion and concentration appropriate to the act of prayer, combined, however, with the authority of worldly knowledge and political skill.	What reflects the devotion and concentration appropriate to the act of prayer?	` Prince of the Church ''s face
		There is a dignity in this portrait, in which intense shades of red predominate, which makes it the worthy representation of a cardinal and ` Prince of the Church '.	What does red predominate make?	it
		There is a dignity in this portrait, in which intense shades of red predominate, which makes it the worthy representation of a cardinal and ` Prince of the Church '.	Who makes there?	red predominate
		This important figure of the second half of the fifteenth century found in the Master of Moulins a portraitist worthy of his position	What found in the Master of Moulins a portraitist worthy of his position?	this important figure of the second half of the fifteenth century
		His face reflects the devotion and concentration appropriate to the act of prayer, combined, however, with the authority of worldly knowledge and political skill.	What does ` Prince of the Church ''s face reflect appropriate to the act of prayer?	the devotion and concentration
		His face reflects the devotion and concentration appropriate to the act of prayer, combined, however, with the authority of worldly knowledge and political skill.	What does ` Prince of the Church ''s face reflect the devotion and concentration appropriate to?	to the act of prayer
10124-15jerome.jpg	Cranach filled out this version of the subject with attractive details which, although not essential, significantly heighten the viewers visual pleasure. He spreads these almost evenly over the picture surface			
		He spreads these almost evenly over the picture surface	What does Cranach spread?	these almost evenly over the picture surface
14643-lastsup.jpg	This painting is attributed to Agnolo Gaddi due to stylistic considerations			
		This painting is attributed to Agnolo Gaddi due to stylistic considerations	What is attributed to Agnolo Gaddi due to stylistic considerations?	this painting
20889-port_wom.jpg	Signed at left: Angelica Kauffmann. Pinx: Romae a&#176; 1795.Angelica Kauffmann was one of the most celebrated artists of her time, winning high praise from Goethe (whose portrait she painted), Herder and other literary figures. Her popularity was not entirely due to the fact that by the end of the eighteenth century women had been to some extent emancipated by the Enlightenment, for her surviving pictures, particularly her portraits, show that she was an exceptionally gifted artist who consistently and effectively expressed in her works the approach of the new era of Neoclassicism. Most of her historical compositions are based on classical and literary themes, while her portraits are characterized by lucidity of form, noble poses and cool, limpid colours.This portrait of a middle-aged woman in front of her dressing-table was for many years believed to be a self-portrait, but comparison with authentic self-portraits disproves this. The inscription tells us that the portrait was painted in Rome in 1795, so it is more likely to have been a likeness of Princess Esterh�zy, for whom Angelica Kauffmann is known to have worked at that time			
		Angelica Kauffmann was one of the most celebrated artists of her time, winning high praise from Goethe (whose portrait she painted), Herder and other literary figures.	Who did Angelica Kauffmann win high praise from?	from Goethe, Herder and other literary figures
		The inscription tells us that the portrait was painted in Rome in 1795, so it is more likely to have been a likeness of Princess Esterhzy, for whom Angelica Kauffmann is known to have worked at that time	When is more likely to have been a likeness of Princess Esterhzy?	1795
		Angelica Kauffmann was one of the most celebrated artists of her time, winning high praise from Goethe (whose portrait she painted), Herder and other literary figures.	Who was Angelica Kauffmann?	one of the most celebrated artists of her time
		Angelica Kauffmann was one of the most celebrated artists of her time, winning high praise from Goethe (whose portrait she painted), Herder and other literary figures.	Who won high praise from Goethe, Herder and other literary figures?	Angelica Kauffmann
		Most of her historical compositions are based on classical and literary themes, while her portraits are characterized by lucidity of form, noble poses and cool, limpid colors.	Whose portraits are characterized by lucidity of form?	Angelica Kauffmann's portraits
		Most of her historical compositions are based on classical and literary themes, while her portraits are characterized by lucidity of form, noble poses and cool, limpid colors.	What are Angelica Kauffmann's portraits characterized by?	by lucidity of form
39154-18zianig.jpg	The scene showing Rinaldo leaving the garden of Armida, taken from Gerusalemme Liberata by Torquato Tasso, was originally on the ground floor of the Zianigo villa. Inspired by a similar painting by his father, it is marked by an almost caricature style, already emptied of the heroic-mythical allure of Giovanni Battista's work. The theme is thus heroic and sentimental, exactly like Tasso's poem and many of Giovanni Battista's figures. But the impassioned and melancholy atmosphere of the episode is already breaking up, revealing that Giandomenico is doffing his hat as illustrator of poems to replace it with that of the comedian.			
