img	comment	related text	question	answer
18850-a_weepin.jpg	In this picture, pure red and blue in the angel's sleeve and the sky, and pure white and black paint, are intermixed and blended with an earth colour to produce a wonderful range of ashen violets and misty ochres, against which the body of Christ on his luminous shroud glows like a golden-tinged pearl. The subject is a free version of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation; it does not illustrate any biblical text. The wounds of Christ are discreetly suggested. Pathos arises from the juxtaposition of beauty with grief, of close observation in the studio with poetic invention, and the borderline between them is as blurred as the melting contours between flesh and stone, feather and cloud			
		Pathos arises from the juxtaposition of beauty with grief, of close observation in the studio with poetic invention, and the borderline between them is as blurred as the melting contors between flesh and stone, feather and cloud	What is flesh and stone?	feather and cloud
		The subject is a free version of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation; it does not illustrate any biblical text.	What is the subject a free version of?	of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation
		Pathos arises from the juxtaposition of beauty with grief, of close observation in the studio with poetic invention, and the borderline between them is as blurred as the melting contors between flesh and stone, feather and cloud	What does Pathos arise from?	from the juxtaposition
		The subject is a free version of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation; it does not illustrate any biblical text.	What is a free version of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation?	the subject
		The subject is a free version of the traditional Venetian theme of two angels holding up the dead Christ beside his tomb for the viewer's pious meditation; it does not illustrate any biblical text.	What does not illustrate any biblical text?	the subject
		The wounds of Christ are discreetly suggested.	What are discreetly suggested?	the wounds of Christ
17495-04virgix.jpg	This painting may have been the left wing of a diptych, the Child's attention having been fixed on a donor in the right wing. It was suggested - not convincingly - that the Portrait of a Monk in the Louvre, which has approximately the same size, formed the right wing.Both the Virgin and the Child bear some resemblance to their counterparts in Michelangelo's Bruges Madonna, particularly in the sweet but somber countenance of the Virgin and the twisted torso of the Child. Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it			
		It was suggested- not convincingly- that the Portrait of a Monk in the Louvre, which has approximately the same size, formed the right wing.	What was suggested that the Portrait of a Monk in the Louvre formed the right wing?	this painting
		Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it	What must Gossart have seen at Bruges?	it
		Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it	When was Michelangelo's sculpture sent to Bruges?	in 1506
		Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it	Who must have seen 1506 at Bruges?	Gossart
		Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it	When must Gossart have seen at Bruges?	1506
		Michelangelo's sculpture was sent in 1506 to Bruges, where Gossart must have seen it	What was Michelangelo's sculpture sent in 1506 to?	to Bruges
21479-angelica.jpg	Angelica is the daughter of a king of Cathay in Orlando Furioso, by the Italian poet Ariosto (1474-1533), a romantic epic poem about the conflict between Christians and Saracens at the time of Charlemagne. Angelica was loved by several knights, Christian and pagan, among them the Christian hero Orlando (Roland). He was maddened (furioso) with grief and jealousy because she became the lover of, and eventually married, the Moor Medoro.In this painting, in front of a landscape, Medoro carves the name of his beloved onto a tree. It was the discovery of these proofs of their love that caused Orlando's jealous rage.This subject was very popular in Italian Baroque painting			
		Angelica was loved by several knights, Christian and pagan, among them the Christian hero Orlando.	Who were Christian and pagan the Christian hero Orlando?	several knights
		In this painting, in front of a landscape, Medoro carves the name of his beloved onto a tree.	What is in front of a landscape?	the painting
		This subject was very popular in Italian Baroque painting	What was very popular in Italian Baroque painting?	this subject
		He was maddened with grief and jealousy because she became the lover of, and eventually married, the Moor Medoro.	Who became the lover of the Moor Medoro?	she
		Angelica is the daughter of a king of Cathay in Orlando Furioso, by the Italian poet Ariosto, a romantic epic poem about the conflict between Christians and Saracens at the time of Charlemagne.	Who is a romantic epic poem about the conflict between Christians and Saracens?	the Italian poet Ariosto
		In this painting, in front of a landscape, Medoro carves the name of his beloved onto a tree.	What is the painting in?	in front of a landscape
22812-selfport.jpg	"In this rather unusual self-portrait the painter represents himself in the guise of ""abbot"" (president) of the Accademia della Val di Blenio (or Bregno). The Accademia della Val di Blenio (part of the present-day canton of Ticino in Switzerland) was founded in Milan in 1560. It is likely that Lomazzo's election in August 1568 to abbot, the highest rank within the brotherhood, provided the occasion for the execution of this curious self-portrait"			
		The Accademia della Val di Blenio (part of the present-day canton of Ticino in Switzerland) was founded in Milan in 1560.	When was the Accademia della Val di Blenio founded in Milan?	in 1560
		It is likely that Lomazzo's election in August 1568 to abbot, the highest rank within the brotherhood, provided the occasion for the execution of this curious self-portrait''	What is the highest rank within the brotherhood?	Lomazzo's election in August 1568 to abbot
		It is likely that Lomazzo's election in August 1568 to abbot, the highest rank within the brotherhood, provided the occasion for the execution of this curious self-portrait''	What is Lomazzo's election in August 1568 to abbot?	the highest rank within the brotherhood
		The Accademia della Val di Blenio (part of the present-day canton of Ticino in Switzerland) was founded in Milan in 1560.	Who was founded in Milan in 1560?	the Accademia della Val di Blenio
		It is likely that Lomazzo's election in August 1568 to abbot, the highest rank within the brotherhood, provided the occasion for the execution of this curious self-portrait''	Whose election in August 1568 to abbot is the highest rank within the brotherhood?	Lomazzo's election in August 1568 to abbot
		The Accademia della Val di Blenio (part of the present-day canton of Ticino in Switzerland) was founded in Milan in 1560.	What was the Accademia della Val di Blenio founded in in 1560?	in Milan
19803-shrimp_g.jpg	"Hogarth originally wanted to become a history painter, but this ambition seems to have been thwarted by a singular lack of interest on the part of his contemporaries. Posterity, too, has chosen to remember a very different Hogarth. He characterized the individual personalities of his sitters, revealed the unique within the typical, and in his tongue-in-cheek portrayals of human nature he documented the social mores of the age in areas beyond the sphere of the ""historic"" event. Then, as now, he was regarded as the painter of the private, the forgotten and the overlooked.In the improvised composition of this oil sketch of The Shrimp Girl, we see Hogarth's painterly talent at its very finest. Here, he succeeds in creating a spontaneous reiteration of his observations with all the impact of a first impression. The freshness of the moment is not transposed here into a smooth painterly technique, but is echoed in the vigorous and fleeting brushwork.This spontaneous and fresh study recalls the style of Frans Hals and it can be considered a precursor of Impressionism"			
		In the improvised composition of this oil sketch of The Shrimp Girl, we see Hogarth's painterly talent at its very finest.	What did the improvise?	composition of this oil sketch of The Shrimp Girl
		Here, he succeeds in creating a spontaneous reiteration of his observations with all the impact of a first impression.	Who succeeds in creating a spontaneous reiteration of his observations with all the impact of a first impression?	Hogarth
		``Hogarth originally wanted to become a history painter, but this ambition seems to have been thwarted by a singular lack of interest on the part of his contemporaries.	Who originally wanted to become a history painter?	Hogarth
		Then, as now, he was regarded as the painter of the private, the forgotten and the overlooked.	Who was Hogarth regarded as?	as the painter of the private
		The freshness of the moment is not transposed here into a smooth painterly technique, but is echoed in the vigorous and fleeting brushwork.	What is the freshness of the moment echoed in?	in the vigorous and fleeting brushwork
		``Hogarth originally wanted to become a history painter, but this ambition seems to have been thwarted by a singular lack of interest on the part of his contemporaries.	Who did Hogarth originally want to become?	a history painter
16575-3vault.jpg	The main decoration of the vault in the Rinuccini Chapel consists of trefoils with half-length figures of the prophets Isaiah, Jeremiah, Ezekiel, and Daniel, and a tondo surrounded by a halo with a bust of Christ blessing painted on wood			
26171-1bay.jpg	The scenes in the first bay of the north aisle in the Collegiata, San Gimignano, are the following: The Annunciation (top). Christ's Entry into Jerusalem (middle, two sections), Betrayal of Judas (bottom left), The Last Supper (bottom right)			
		The scenes in the first bay of the north aisle in the Collegiata, San Gimignano, are the following: The Annunciation.	What are the following: The Annunciation?	the scenes in the first bay of the north aisle in the Collegiata
		The scenes in the first bay of the north aisle in the Collegiata, San Gimignano, are the following: The Annunciation.	Who is San Gimignano?	the Collegiata
		The scenes in the first bay of the north aisle in the Collegiata, San Gimignano, are the following: The Annunciation.	Who is the Collegiata?	San Gimignano
		Christ's Entry into Jerusalem (middle, two sections), Betrayal of Judas (bottom left), The Last Supper (bottom right)	What does Christ's?	Entry into Jerusalem
		The scenes in the first bay of the north aisle in the Collegiata, San Gimignano, are the following: The Annunciation.	What are the scenes in the first bay of the north aisle in the Collegiata?	the following: The Annunciation
		Christ's Entry into Jerusalem (middle, two sections), Betrayal of Judas (bottom left), The Last Supper (bottom right)	Who's Entry into Jerusalem?	Christ
19885-3carew.jpg	The sitter can be identified by the inscription (which is perhaps a later addition) as Sir Nicholas Carew, Master of the Horse to King Henry VIII			
		The sitter can be identified by the inscription (which is perhaps a later addition) as Sir Nicholas Carew, Master of the Horse to King Henry VIII	Who can be identified by the inscription as Sir Nicholas Carew to King Henry VIII?	the sitter
		The sitter can be identified by the inscription (which is perhaps a later addition) as Sir Nicholas Carew, Master of the Horse to King Henry VIII	Who can the sitter be identified by the inscription as to King Henry VIII?	as Sir Nicholas Carew
		The sitter can be identified by the inscription (which is perhaps a later addition) as Sir Nicholas Carew, Master of the Horse to King Henry VIII	Who can the sitter be identified by the inscription as Sir Nicholas Carew to?	to King Henry VIII
		The sitter can be identified by the inscription (which is perhaps a later addition) as Sir Nicholas Carew, Master of the Horse to King Henry VIII	What can the sitter be identified by as Sir Nicholas Carew to King Henry VIII?	by the inscription
