img	comment	related text	question	answer
34414-still_lif.jpg	Frans Rijckhas was a Middelburg painter best known for his small peasant scenes which include displays of fruit and vegetables and of impressive 'pronk' still-lifes that include sumptuous gold and silver vessels. Several of Rijckhals's still-lifes were formerly attributed to Frans Hals the Younger on the basis of an erroneous reading of Rijckhals complicated monogram. No signed or documented work by Frans Hals the Younger is known			
		Several of Rijckhals's still-lifes were formerly attributed to Frans Hals the Younger on the basis of an erroneous reading of Rijckhals complicated monogram.	Who were several of Rijckhals's still-lifes formerly attributed to on the basis of an erroneous reading of Rijckhals complicated monogram?	to Frans Hals the Younger
		No signed or documented work by Frans Hals the Younger is known	What is known?	no signed or documented work by Frans Hals the Younger
		Several of Rijckhals's still-lifes were formerly attributed to Frans Hals the Younger on the basis of an erroneous reading of Rijckhals complicated monogram.	What were formerly attributed to Frans Hals the Younger on the basis of an erroneous reading of Rijckhals complicated monogram?	several of Rijckhals's still-lifes
		Frans Rijckhas was a Middelburg painter best known for his small peasant scenes which include displays of fruit and vegetables and of impressive ` pronk ' still-lifes that include sumptuous gold and silver vessels.	Who was Frans Rijckhas?	a Middelburg painter best known for his small peasant scenes which include displays of fruit and vegetables and of impressive ` pronk ' still-lifes that include sumptuous gold and silver vessels
		Several of Rijckhals's still-lifes were formerly attributed to Frans Hals the Younger on the basis of an erroneous reading of Rijckhals complicated monogram.	What were several of Rijckhals's still-lifes formerly attributed to Frans Hals the Younger on?	on the basis of an erroneous reading of Rijckhals complicated monogram
27124-seignela.jpg	Pierre Mignard, known in his native France as Le Romain, lived in Rome from 1636 (visiting Venice and other northern Italian cities in 1654-5) until summoned home by King Louis XIV in 1657. His style was largely based on Annibale Carracci, Domenichino and Poussin. However, he pretended allegiance to Titian and Venetian colourism on his return to France, mainly to oppose his rival Lebrun, whom he succeeded in 1690 as First Painter to the King and Director of the Royal Academy. Despite all his years abroad, his work looks to us unmistakably French, at least as relating to the France of the Sun King's court: calculated and grand. Hogarth's xenophobic English jjudgment, half a century later, might apply to this superb portrait: 'insolence with an affectation of politeness'. But Mignard was doing no more than following the wishes of his sitter, the widow of Jean-Baptiste Colbert de Seignelay, Minister for the Navy.Catherine-Th�r�se de Matignon, Marquise de Lonray, veuve de Seignelay, instructed Mignard to portray her as the sea-nymph Thetis, to whom was said (according to Ovid's Metamorphoses XI, 221-3): 'O goddess of the waves, conceive: thou shalt be the mother of a youth who, when to manhood grown, shall outdo his father's deeds and shall be called greater than he.' Past writers have attributed Mme de Seignelay's transformation into a sea goddess to her husband's office, but it was shown that this passage from Ovid is the key to the portrait. Like Thetis, Mlle de Matignon, of old Norman nobility, had been married off against her will to a social inferior: Colbert, her husband's father and the great Minister of the King, was the son of a draper. The goddess's husband, Peleus, had to rape Thetis to 'beget on her the great Achilles', the most celebrated Greek hero of the Trojan War. 'The hero's mother, goddess of the sea, was ambitious for her son' and by descending into the fiery crater of Etna, the volcano seen here smoking in the background, obtained for him armour made by Vulcan, the blacksmith god. This is the armour, 'work of heavenly art', worn in the guise of Achilles by Marie-Jean-Baptiste de Seignelay, the eldest son for whom Mme de Seignelay had just bought a military commission.The painting's brilliant effect depends in large measure on the vast expanse of Thetis' best ultramarine-blue cloak, contrasting wonderfully with the coral and pearls in her hair, and the mauves and greens of Achilles' garments. Ultramarine was the costliest of pigments, more expensive than gold itself and for that reason seldom used by this date, and never in such quantities. Thus did Mme de Seignelay confound the rumours put about by 'mauvaises langues' that she was bankrupt. And there is more: other rumours circulated that the noble widow either was, or wished to be, mistress to the king. The Cupid proffering a precious nautilus shell brimming over with a king's ransom in jewels publicises the liaison as a fait accompli. Thus might a classical education, and the talents of a Roman-trained and responsive artist, be put to insolent use 'with an affectation of politeness'			
		The goddess's husband, Peleus, had to rape Thetis to ` beget on her the great Achilles ', the most celebrated Greek hero of the Trojan War.	Who was the goddess's husband?	Peleus
		Pierre Mignard, known in his native France as Le Romain, lived in Rome from 1636 (visiting Venice and other northern Italian cities in 1654-5) until summoned home by King Louis XIV in 1657.	Where was Pierre Mignard known as Le Romain?	in his native France
		The goddess's husband, Peleus, had to rape Thetis to ` beget on her the great Achilles ', the most celebrated Greek hero of the Trojan War.	Who were the great Achilles '?	the most celebrated Greek hero of the Trojan War
		Hogarth's xenophobic English jjudgment, half a century later, might apply to this superb portrait: ` insolence with an affectation of politeness '.	What might Hogarth's xenophobic English jjudgment apply to?	to this superb portrait: ` insolence with an affectation of politeness '
		This is the armor, ` work of heavenly art ', worn in the guise of Achilles by Marie-Jean-Baptiste de Seignelay, the eldest son for whom Mme de Seignelay had just bought a military commission.	Who is Marie-Jean-Baptiste de Seignelay?	the eldest son for whom Mme de Seignelay had just bought a military commission
		Ultramarine was the costliest of pigments, more expensive than gold itself and for that reason seldom used by this date, and never in such quantities.	What was the costliest of pigments?	Ultramarine
39037-2homer1.jpg	The first room on the ground floor of the Palazzina was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad. The scenes in this room are The Rage of Achilles, Eurybates and Talthybios Lead Briseis to Agamemmon (scenes shown in the present photo), and Thetis Consoling Achilles. Fourth scene depicts a Landscape with Cupid			
		Fourth scene depicts a Landscape with Cupid	What does fourth scene depict with Cupid?	a Landscape
		Fourth scene depicts a Landscape with Cupid	Who does fourth scene depict a Landscape with?	with Cupid
		The first room on the ground floor of the Palazzina was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad.	What was the first room on the ground floor of the Palazzina painted by Giovanni Battista Tiepolo with after Homer's Iliad?	with scenes
		The first room on the ground floor of the Palazzina was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad.	What was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad?	the first room on the ground floor of the Palazzina
		The first room on the ground floor of the Palazzina was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad.	Who was the first room on the ground floor of the Palazzina painted by with scenes after Homer's Iliad?	by Giovanni Battista Tiepolo
		The scenes in this room are The Rage of Achilles, Eurybates and Talthybios Lead Briseis to Agamemmon (scenes shown in the present photo), and Thetis Consoling Achilles.	What are The Rage of Achilles, Eurybates and Talthybios Lead Briseis to Agamemmon, and Thetis Consoling Achilles?	the scenes in this room
13328-252tript.jpg	The outer panels represent in grisaille the Angel and the Virgin of the Annunciation			
		The outer panels represent in grisaille the Angel and the Virgin of the Annunciation	When do the outer panels represent in grisaille the Angel and the Virgin?	of the Annunciation
		The outer panels represent in grisaille the Angel and the Virgin of the Annunciation	What represent in grisaille the Angel and the Virgin of the Annunciation?	the outer panels
		The outer panels represent in grisaille the Angel and the Virgin of the Annunciation	What do the outer panels represent in the Angel and the Virgin of the Annunciation?	in grisaille
		The outer panels represent in grisaille the Angel and the Virgin of the Annunciation	Who do the outer panels represent in grisaille?	the Angel and the Virgin of the Annunciation
08215-capricci.jpg	"The Bucintoro was the state galley of the doges of Venice. It was used every year on Ascension Day up to 1798 to take the doge out to the Adriatic Sea to perform the ""Marriage of the Sea"" - a ceremony that symbolically wedded Venice to the sea every year on the ""Festa della Sensa"" (Ascension Day)"			
		``The Bucintoro was the state galley of the doges of Venice.	Who was the state galley of the doges of Venice?	the Bucintoro
		``The Bucintoro was the state galley of the doges of Venice.	What was the Bucintoro?	the state galley of the doges of Venice
		``The Bucintoro was the state galley of the doges of Venice.	Who was the Bucintoro the state galley of?	of the doges of Venice
28594-1vethe6.jpg	This painting reflects the artist's interest in the depiction of gardens, particularly his own. In Argenteuil in the 1870s, in V�theuil in the early 1880s, and most notably in Giverny &#151; where he resided for the last forty years of his life &#151; Monet took an active role in tending his own garden.While at V�theuil, Monet produced at least nine paintings of his garden, all in the same year. Four identical compositions (this work among them) are painted from the same vantage point, depicting the staircase and path at the centre, flanked by beds of sunflowers and blue and white ceramic vases filled with gladioli			
		Four identical compositions (this work among them) are painted from the same vantage point, depicting the staircase and path at the center, flanked by beds of sunflowers and blue and white ceramic vases filled with gladioli	What was the center flanked by?	by beds of sunflowers and blue and white ceramic vases filled with gladioli
		Four identical compositions (this work among them) are painted from the same vantage point, depicting the staircase and path at the center, flanked by beds of sunflowers and blue and white ceramic vases filled with gladioli	What depict the staircase and path at the center?	four identical compositions
		Four identical compositions (this work among them) are painted from the same vantage point, depicting the staircase and path at the center, flanked by beds of sunflowers and blue and white ceramic vases filled with gladioli	What do four identical compositions depict the staircase and path at?	at the center
		This painting reflects the artist's interest in the depiction of gardens, particularly his own.	What are gardens?	his own
		While at Vtheuil, Monet produced at least nine paintings of his garden, all in the same year.	What was Monet's garden?	all
		This painting reflects the artist's interest in the depiction of gardens, particularly his own.	What reflects the artist's interest in the depiction of gardens?	this painting
02744-scene05.jpg	Scene 5 of the Cecilia cycle in the Oratory of St Cecilia, painted by Amico Aspertini, depicts the martyrdom of Valerian and his brother Tiburtius. The prefect Turcius Almachius summons them for questioning, in the course of which they confess their new Christian faith. In the foreground the prefect and his retainers have gathered at  the foot of a tall column supporting a statue of Jupiter somewhere outside of Rome. The brothers, dressed in white and crowned with flowers, refuse to offer incense to the god and are accordingly beheaded			
		In the foreground the prefect and his retainers have gathered at the foot of a tall column supporting a statue of Jupiter somewhere outside of Rome.	What have the prefect and the prefect Turcius Almachius's retainers gathered at the foot of a tall column supporting a statue of Jupiter somewhere outside of Rome in?	in the foreground
		Scene 5 of the Cecilia cycle in the Oratory of St Cecilia, painted by Amico Aspertini, depicts the martyrdom of Valerian and his brother Tiburtius.	What does Scene 5 of the Cecilia cycle in the Oratory of St Cecilia depict the martyrdom of?	of Valerian and his brother Tiburtius
		The prefect Turcius Almachius summons them for questioning, in the course of which they confess their new Christian faith.	Who does the prefect Turcius Almachius summon for questioning?	them
		Scene 5 of the Cecilia cycle in the Oratory of St Cecilia, painted by Amico Aspertini, depicts the martyrdom of Valerian and his brother Tiburtius.	Who is Scene 5 painted by?	by Amico Aspertini
