img	comment	related text	question	answer
04170-1pallav7.jpg	The villa owes its fame not only to its architecture and location, but also to a particularly extensive decorative program of frescoes on the piano nobile. The decoration extends through a vestibule, the adjoining large salon (the Salone), two symmetrically adjoining side rooms, and two loggias which at that time opened toward the south.The fresco decoration of the Salone and the loggias are attuned to each other: in the east (Loggia di Apollo), the chariot of the sun god Apollo in the ceiling fresco rides across the sky in the direction of the sunrise, while in the west (Loggia di Diana), the moon goddess Diana leads her team of horses.Above the passage from the loggias into the Salone, there are two over-door paintings. In the Loggia di Apollo, one can see at this location an argument between Apollo and Cupid. Apollo - overconfident after having killed the python with arrows - mocks the little archer. Cupid obtains his revenge and proves his superior power by enflaming the god to love with a shot from his bow.In the Loggia di Diana, the chaste Diana must protect herself against sensual longing as a lusty satyr tries to seize her. Anyone entering the Salone from the loggias is reminded by the images that even the noble Olympians were not safe from love's onslaught.The frescoes in the loggias were painted by two different artists. The Apollo and Cupid was executed by Giovan Battista Castello (called Il Bergamasco), who was also responsible for the decoration in the Salone, and Diana and Satyr by Luca Cambiaso. In the two contest scenes, the artists thus compete with each other			
		In the two contest scenes, the artists thus compete with each other	What do the artists thus compete with in the two contest scenes?	with each other
		Cupid obtains his revenge and proves his superior power by enflaming the god to love with a shot from his bow.	Whose superior power does Cupid prove by enflaming the god to love with a shot from his bow?	the god's superior power
		The frescoes in the loggias were painted by two different artists.	What were painted by two different artists?	the frescoes in the loggias
		The frescoes in the loggias were painted by two different artists.	Who were the frescoes in the loggias painted by?	by two different artists
		Cupid obtains his revenge and proves his superior power by enflaming the god to love with a shot from his bow.	What does Cupid obtain?	the god's revenge
		The Apollo and Cupid was executed by Giovan Battista Castello (called Il Bergamasco), who was also responsible for the decoration in the Salone, and Diana and Satyr by Luca Cambiaso.	Who was the Apollo and Cupid executed by Giovan Battista Castello, and Diana and Satyr by?	by Luca Cambiaso
34201-stjames2.jpg	Ribera treated this subject on several occasions			
		Ribera treated this subject on several occasions	What do Ribera treat on several occasions?	this subject
30035-13paal.jpg	The works of L�szl� Pa�l are mainly landscapes with no human figures appearing in then scarcely ever. This painting is an exception in as much as a  woman can be seen in the background. In the coexistence of the land and the human being in Pa�l's oeuvre always the former has importance. The woman is nearly disappearing among the trees, there is nothing, not even her presence, in the picture to disturb the silence and tranquillity of forest			
		This painting is an exception in as much as a woman can be seen in the background.	What is an exception in as much as a woman can be seen in the background?	this painting
		The woman is nearly disappearing among the trees, there is nothing, not even her presence, in the picture to disturb the silence and tranquillity of forest	Who is nearly disappearing among the trees in the picture to disturb the silence and tranquillity of forest?	the woman
		In the coexistence of the land and the human being in Pal's oeuvre always the former has importance.	What does always the former have importance in?	in the coexistence of the land and the human being in Pal's oeuvre
		The woman is nearly disappearing among the trees, there is nothing, not even her presence, in the picture to disturb the silence and tranquillity of forest	What is the woman nearly disappearing among the trees in?	in the picture to disturb the silence and tranquillity of forest
		In the coexistence of the land and the human being in Pal's oeuvre always the former has importance.	What has importance in the coexistence of the land and the human being in Pal's oeuvre?	always the former
		The works of Lszl Pal are mainly landscapes with no human figures appearing in then scarcely ever.	What are mainly landscapes with no human figures appearing in then scarcely ever?	the works of Lszl Pal
35430-55religi.jpg	Rubens' close involvement with the resurgence of Catholicism and the struggle for power led to the production a numerous large altarpieces. His stirring baroque ideas come to the fore in The Lance (1619-20), with its emotionally charged, highly plastic figures, and The Adoration of the Magi (1624). This masterpiece is particularly impressive because of its animated, asymmetrical composition, its marvelously gradated colouring, the spontaneity of execution and, above all, the expressiveness of the depicted figures			
		Rubens ' close involvement with the resurgence of Catholicism and the struggle for power led to the production a numerous large altarpieces.	Whose close involvement with the resurgence of Catholicism and the struggle for power led to the production a numerous large altarpieces?	Rubens ' close involvement with the resurgence of Catholicism and the struggle for power
		This masterpiece is particularly impressive because of its animated, asymmetrical composition, its marvelously gradated coloring, the spontaneity of execution and, above all, the expressiveness of the depicted figures	What is particularly impressive because of its animated, asymmetrical composition?	this masterpiece
		This masterpiece is particularly impressive because of its animated, asymmetrical composition, its marvelously gradated coloring, the spontaneity of execution and, above all, the expressiveness of the depicted figures	What is its marvelously gradated coloring, the spontaneity of execution and the expressiveness of the depicted figures?	this masterpiece's animated, asymmetrical composition
		His stirring baroque ideas come to the fore in The Lance, with its emotionally charged, highly plastic figures, and The Adoration of the Magi.	What do power's stirring baroque ideas come to?	to the fore in The Lance
		His stirring baroque ideas come to the fore in The Lance, with its emotionally charged, highly plastic figures, and The Adoration of the Magi.	What come to the fore in The Lance?	power's stirring baroque ideas
		Rubens ' close involvement with the resurgence of Catholicism and the struggle for power led to the production a numerous large altarpieces.	What did Rubens ' close involvement with the resurgence of Catholicism and the struggle for power lead to?	to the production a numerous large altarpieces
12139-nude2.jpg	The present painting, signed and dated, was exhibited at the 1831 Salon. Its companion piece shows a female nude seen from the front			
		The present painting, signed and dated, was exhibited at the 1831 Salon.	What was exhibited at the 1831 Salon?	the present painting
		The present painting, signed and dated, was exhibited at the 1831 Salon.	What was dated?	the present painting
		The present painting, signed and dated, was exhibited at the 1831 Salon.	What was the present painting at?	exhibited at the 1831 Salon
		The present painting, signed and dated, was exhibited at the 1831 Salon.	What was signed?	the present painting
		Its companion piece shows a female nude seen from the front	What does the present painting's companion piece show?	a female nude seen from the front
		Its companion piece shows a female nude seen from the front	What shows a female nude seen from the front?	the present painting's companion piece
30884-tobias.jpg	The story is recounted in the Book of Tobit. Tobias was sent by his father Tobit to Media to recover a sum of money he had hidden there earlier. Archangel Raphael, sent by God to help Tobit and his family, asked Tobit (who did not recognize the angel) whether he may escort his son on his journey and, in company with Tobias' faithful hound, they departed together. They reached the Tigris, where Tobias was attacked by a gigantic fish. The archangel ordered him to capture it and had him remove and conserve its gall, heart and liver. The innards proved to be a medicine which he can use to restore his father's sight			
		Tobias was sent by his father Tobit to Media to recover a sum of money he had hidden there earlier.	Who was sent by his father Tobit to Media to recover a sum of money he had hidden there earlier?	Tobias
		The archangel ordered him to capture it and had him remove and conserve its gall, heart and liver.	Who did the archangel have remove?	him
		They reached the Tigris, where Tobias was attacked by a gigantic fish.	What reached the Tigris?	they
		The story is recounted in the Book of Tobit.	What is recounted in the Book of Tobit?	the story
		The archangel ordered him to capture it and had him remove and conserve its gall, heart and liver.	Who did the archangel order to capture where Tobias was attacked by a gigantic fish?	him
		The archangel ordered him to capture it and had him remove and conserve its gall, heart and liver.	Who did the archangel have conserve where Tobias was attacked by a gigantic fish's gall, heart and liver?	him
32756-02baron2.jpg	The study for the Baronci Altarpiece shows only a single angel, but a partial copy of the altarpiece from the 18th century in Citt&#224; di Castello, and a description written in 1789, prove that pairs of angels stood on either side of the main figure. The angel shown here was on the right and was not looking at the saint in the centre but at a figure on the edge of the picture			
		The angel shown here was on the right and was not looking at the saint in the center but at a figure on the edge of the picture	What was the angel shown here on?	on the right
		The angel shown here was on the right and was not looking at the saint in the center but at a figure on the edge of the picture	Who was on the right?	the angel shown here
		The angel shown here was on the right and was not looking at the saint in the center but at a figure on the edge of the picture	Who was not looking at the saint in the center but at a figure on the edge of the picture?	the angel shown here
		The angel shown here was on the right and was not looking at the saint in the center but at a figure on the edge of the picture	Where was the angel shown here not looking at the saint in the center but at a figure?	on the edge of the picture
		The angel shown here was on the right and was not looking at the saint in the center but at a figure on the edge of the picture	What was the angel shown here not looking at the saint in the center but at a figure on?	on the edge of the picture
