img	comment	related text	question	answer
05643-allego2.jpg	Although they bear different dates, Boucher's two allegories, the Allegory of Painting and the Allegory of Music have been associated with each other since they came to light in the late nineteenth century. Virtually identical in size, their compositions are well balanced and their subjects complementary. The low viewpoints of the two paintings and the broad handling of the brushwork suggest that they were intended as overdoors, to be placed high in a decorative scheme where close examination would not have been possible. In each picture the arts of Painting and Music are personified as beautiful young women, surrounded by attributes appropriate to their arts and are doted by winged putti, who engage in playful activities			
		In each picture the arts of Painting and Music are personified as beautiful young women, surrounded by attributes appropriate to their arts and are doted by winged putti, who engage in playful activities	What do winged putti engage in?	in playful activities
		Although they bear different dates, Boucher's two allegories, the Allegory of Painting and the Allegory of Music have been associated with each other since they came to light in the late nineteenth century.	Who bear different dates?	they
		Although they bear different dates, Boucher's two allegories, the Allegory of Painting and the Allegory of Music have been associated with each other since they came to light in the late nineteenth century.	When are Boucher's two allegories?	different dates
		Although they bear different dates, Boucher's two allegories, the Allegory of Painting and the Allegory of Music have been associated with each other since they came to light in the late nineteenth century.	What are different dates?	Boucher's two allegories
		Although they bear different dates, Boucher's two allegories, the Allegory of Painting and the Allegory of Music have been associated with each other since they came to light in the late nineteenth century.	How many Boucher's allegories are different dates?	Boucher's two allegories
		In each picture the arts of Painting and Music are personified as beautiful young women, surrounded by attributes appropriate to their arts and are doted by winged putti, who engage in playful activities	Who engage in playful activities?	winged putti
10798-portrman.jpg	This striking portrait shows an unidentified man, half-length, in a grey coat. His upraised profile with its prominent bushy eyebrows, aquiline nose and high forehead endows him with an outwardly unshakeable authority			
		This striking portrait shows an unidentified man, half-length, in a gray coat.	What shows an unidentified man in a gray coat?	this striking portrait
		This striking portrait shows an unidentified man, half-length, in a gray coat.	What is the unidentified man?	half-length
		His upraised profile with its prominent bushy eyebrows, aquiline nose and high forehead endows him with an outwardly unshakeable authority	What endows him with an outwardly unshakeable authority?	an unidentified man, half-length, in a gray coat's upraised profile with this striking portrait's prominent bushy eyebrows, aquiline nose and high forehead
		This striking portrait shows an unidentified man, half-length, in a gray coat.	Who is half-length?	the unidentified man
