img	comment	related text	question	answer
18020-30old1.jpg	The oldest king is closest to the Christ Child on the altarpiece and is followed by the largest procession of pilgrims. His vanguard is made to appear visually longer due to the about-turn that the procession makes. He is wisely and calmly gazing towards the young king on the opposite wall. His long gray full beard shows him to be from the Middle East, for the Florentines of the 15th century, where a smoothly shaved face was the predominant fashion, considered this to be the decisive characteristic of the Orient.The figure of the old king has been considered to be a portrait of the patriarch of Constantinople. The identification is based on the context in which the paintings were produced: the Council of Ferrara-Florence in 1439. The council, which had at first met in Ferrara, was moved to Florence as Ferrara was not able to provide further financial support or security. It was possible to move the council due to financing provided by the Medicis, in particular Cosimo. Since 1438 he had been the 'Gonfaloniere della Giustizia' (Standard-bearer of Justice), the head of the eight priors who together formed the constitutional body. Because of this position, Cosimo was able to prepare for the council and the reception of the dignitaries. One of the results was a decisive financial success, a year of high profits for the Medici bank. In this context, therefore, painting the chapel was also meant to serve as a reminder of the brilliant part Cosimo had played in the affair. The council had not successfully carried out its aims, in the long term the council was to be unsuccessful, however, this had not yet been evident during the 1440s and 1450s. At that time the discussion was continued in Rome and not until 1484, more than 50 years after the frescoes were completed, did the Greek Orthodox Church finally reject the agreement reached in Florence			
		Since 1438 he had been the ` Gonfaloniere della Giustizia ' (Standard-bearer of Justice), the head of the eight priors who together formed the constitutional body.	What was the ` Gonfaloniere della Giustizia '?	the head of the eight priors who together formed the constitutional body
		One of the results was a decisive financial success, a year of high profits for the Medici bank.	What was a decisive financial success?	one of the results
		The oldest king is closest to the Christ Child on the altarpiece and is followed by the largest procession of pilgrims.	Who is closest to the Christ Child on the altarpiece?	the oldest king
		He is wisely and calmly gazing towards the young king on the opposite wall.	Who is wisely and calmly gazing towards the young king on the opposite wall?	the oldest king
		The oldest king is closest to the Christ Child on the altarpiece and is followed by the largest procession of pilgrims.	What is the oldest king closest to the Christ Child on?	on the altarpiece
		The council, which had at first met in Ferrara, was moved to Florence as Ferrara was not able to provide further financial support or security.	What was moved to Florence as Ferrara was not able to provide further financial support or security?	the council
39680-05philip.jpg	The painting is an 'Allegory of the Battle of Lepanto'. On 7 October 1571 the combined allied fleets of Spain, the papacy and Venice, under the supreme command of Don John of Austria, met and defeated the Ottoman fleet in Greek waters at Lepanto (now Nafpaktos) in the Corinthian Gulf. It was an extraordinary triumph for Christian arms with an enormous psychological impact bringing relief to Christendom which had long felt beleaguered by Islam. As the news spread across Europe, in Toledo a Te Deum was celebrated in the great cathedral, Philip II endowed an annual procession to commemorate the victory in perpetuity			
		As the news spread across Europe, in Toledo a Te Deum was celebrated in the great cathedral, Philip II endowed an annual procession to commemorate the victory in perpetuity	What did the news spread across?	across Europe
		The painting is an ` Allegory of the Battle of Lepanto '.	What is an ` Allegory of the Battle of Lepanto '?	the painting
