img	comment	related text	question	answer
00068-ark3.jpg	This scene is a detail of the fresco cycle in the Room of the Ark. Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem. The high priest of the Temple leads the pageant with the tabernacle containing the sacred Tablets of the Law			
		The high priest of the Temple leads the pageant with the tabernacle containing the sacred Tablets of the Law	What does the high priest of the Temple lead?	the pageant with the tabernacle containing the sacred Tablets of the Law
		Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem.	What do billowing clouds of aromatic incense surround?	the Ark of the Covenant
		Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem.	What is the Covenant being carried in a solemn procession into?	into the city of Jerusalem
		Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem.	What do billowing clouds of aromatic incense surround the Ark of?	of the Covenant
		The high priest of the Temple leads the pageant with the tabernacle containing the sacred Tablets of the Law	Who leads the pageant with the tabernacle containing the sacred Tablets of the Law?	the high priest of the Temple
		Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem.	What is the Covenant being carried in into the city of Jerusalem?	in a solemn procession
14232-mamete.jpg	Francesco de' Franceschi was influenced by Antonio Vivarini's style			
		Francesco de ' Franceschi was influenced by Antonio Vivarini's style	Whose Franceschi was influenced by Antonio Vivarini's style?	Francesco de ' Franceschi
		Francesco de ' Franceschi was influenced by Antonio Vivarini's style	What was Francesco de ' Franceschi influenced by?	by Antonio Vivarini's style
		Francesco de ' Franceschi was influenced by Antonio Vivarini's style	Whose style was Francesco de ' Franceschi influenced by?	by Antonio Vivarini's style
		Francesco de ' Franceschi was influenced by Antonio Vivarini's style	Who was influenced by Antonio Vivarini's style?	Francesco de ' Franceschi
05117-lastsupp.jpg	This panel probably once belonged to a large retablo or altarpiece, such as Borr�s' most ambitious commission of 1574 for the church of the Hieronymite Monastery at Cotalba in Gand�a or the similar retablo representing Los Misterios del Rosario in the Colegio de Santo Domingo, Orihuela. Panels of similar themes, as well as of comparable dimensions and format, appear in each of these retablos and it is likely that this originally flanked the central panel or sculpture of the altarpiece			
00782-3predel5.jpg	In the predella below the Annunciation, near the two farthest edges, two scenes are painted (23 x 14 cm each). The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic. There are five central scenes of the life of the Virgin, one after the other without interruption (23 x 183 cm), namely (from the left). Marriage of the Virgin, The Visitation, Adoration of the Magi, Presentation of Jesus at the Temple, Death of the Virgin.This picture shows the scene of Death of the Virgin			
		In the predella below the Annunciation, near the two farthest edges, two scenes are painted (23 x 14 cm each).	How many scenes are painted in the predella?	two scenes
		The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic.	Who is the other The Virgin Consigns the Habit?	the Virgin
		The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic.	What is the Virgin?	the other The Virgin Consigns the Habit
		The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic.	Who do the first represent the Birth of the Virgin to?	to St Dominic
		In the predella below the Annunciation, near the two farthest edges, two scenes are painted (23 x 14 cm each).	What are painted in the predella?	two scenes
		The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic.	What represent the Birth of the Virgin to St Dominic?	the first
09226-adoratio.jpg	This is one of the many triptychs of the Adoration of the Magi produced by the artist			
		This is one of the many triptychs of the Adoration of the Magi produced by the artist	What is one of the many triptychs of the Adoration of the Magi produced by the artist?	this
38707-bagpipe.jpg	Hendrick ter Brugghen was a highly original painter. He was probably born in Utrecht, where he was a pupil of the Mannerist history painter, Abraham Bloemaert. Having learnt the basic skills of his craft in Bloemaert's workshop, he set off for an extended stay in Italy, a practice which was quite usual among Dutch artists - and especially those from the Catholic city of Utrecht - in the early seventeenth century. Ter Brugghen seems to have been based in Rome. It was a time of hectic activity and experiment: the young painter from Utrecht studied the work of the Carracci, Domenichino and Guido Reni, but the artist who was to have the most profound effect on him was Caravaggio, who fled from Rome after killing a man in 1606 and died four years later at Porto Ercole.Caravaggio's powerful, even shocking, naturalism and his dramatic use of bold highlights and deep shadows particularly excited the young ter Brugghen. After Caravaggio's death; his revolutionary style was adopted and developed in the direction of more decorative effects by a group of Italian followers, among them Orazio Gentileschi and Bartolomeo Manfredi. Ter Brugghen was arguably the leading member of a group of young Utrecht artists who were profoundly influenced by the work of Caravaggio and his Italian followers: they have been collectively christened the Dutch Caravaggisti. Gerrit van Honthorst and Dirk van Baburen followed the same route as ter Brugghen and had the same transforming experience. Together they fashioned a new type of history painting which was to change the course of large-scale narrative painting in the north and, in particular, affect Rembrandt's treatment of biblical subjects.Ter Brugghen was the first of the Dutch Garavaggisti to return home and bring the gospel of Caravaggism to the Netherlands: he was back in Utrecht by 1615. He died young, in 1629, but in the years after his return from Italy he developed a striking and original manner of painting and range of subject-matter. Following the example of Gentileschi and Manfredi, he painted half-length figures of drinkers and musicians, of which the Bagpipe Player is an outstanding example. He also painted more ambitious multifigured secular subjects, such as The Concert (London, National Gallery) of about 1626, based on Italian Caravaggesque prototypes. In The Concert he brings to an existing format of half-length figures gathered together around a flickering candle, a striking fluency in modelling the soft edges of his forms and a remarkable subtlety of palette - which includes light blues, lemon, purple and cerise			
		Gerrit van Honthorst and Dirk van Baburen followed the same route as ter Brugghen and had the same transforming experience.	What did Gerrit van Honthorst and Dirk van Baburen have?	the same transforming experience
		He was probably born in Utrecht, where he was a pupil of the Mannerist history painter, Abraham Bloemaert.	Where was Hendrick ter Brugghen probably born?	in Utrecht
		Caravaggio's powerful, even shocking, naturalism and his dramatic use of bold highlights and deep shadows particularly excited the young ter Brugghen.	What highlights the young ter Brugghen?	Caravaggio's powerful, even shocking, naturalism and Hendrick ter Brugghen's dramatic use of bold
		He also painted more ambitious multifigured secular subjects, such as The Concert (London, National Gallery) of about 1626, based on Italian Caravaggesque prototypes.	Who also painted more ambitious multifigured secular subjects?	Hendrick ter Brugghen
		Ter Brugghen seems to have been based in Rome.	Where does Ter Brugghen seem to have been based?	in Rome
		After Caravaggio's death; his revolutionary style was adopted and developed in the direction of more decorative effects by a group of Italian followers, among them Orazio Gentileschi and Bartolomeo Manfredi.	Who were Orazio Gentileschi and Bartolomeo Manfredi?	italian followers
07428-salvo.jpg	Jan van de Cappelle is today considered to be one of the greatest of Dutch marine painters. According to a contemporary he was self-taught but he clearly took as his models Simon de Vlieger and Jan Porcellis, works by both of whom were in his own large collection of paintings and drawings. Porcellis had been the first marine painter to break with the dominant Mannerist style of Hendrick Vroom, in whose paintings elaborately described two-dimensional ships were tossed on the top of bright green waves. Porcellis adopted a very restricted grey, black and white palette to paint realistic scenes of storms at sea, a style which De Vlieger developed in the direction of greater naturalism by extending the range of the palette and the ambition of the compositions.Van de Cappelle further extended the possibilities of this naturalistic style. He employs a low horizon, as Ruisdael and Koninck did in their landscapes, and consequently the sky assumes almost as great a significance as the scene beneath it. Although carefully composed, van de Cappelle's paintings seem to give the impression of a scene glimpsed suddenly by cutting off parts of ships on one or both sides of the composition - as here on the left. In this painting of 1650 the focus of the scene is the States' yacht in the centre with the Dutch flag and the coat of arms on her stern: she is firing a salute and a trumpeter on board is sounding. In the right foreground is a row-barge also flying the Dutch flag and with a distinguished man in the stern with the Dutch colours in his hat. It is this visitor who has presumably just left the yacht. Van de Cappelle was especially skilful at representing the cluster of masts and sails, and the reflections of the ships in the unruffled surface of the water.This painting depicts a real event, probably the arrival of Friderick Henry and William II of Orania.Van de Cappelle, who lived and worked in Amsterdam, produced relatively few paintings. His family owned a dye-works, from which he derived his considerable wealth, and he amassed a fascinating collection of works by other artists			
		Van de Cappelle was especially skilful at representing the cluster of masts and sails, and the reflections of the ships in the unruffled surface of the water.	Who was especially skilful at representing the cluster of masts and sails, and the reflections of the ships in the unruffled surface of the water?	Van de Cappelle
		He employs a low horizon, as Ruisdael and Koninck did in their landscapes, and consequently the sky assumes almost as great a significance as the scene beneath it.	What assumes almost as great a significance as the scene beneath it?	the sky
		He employs a low horizon, as Ruisdael and Koninck did in their landscapes, and consequently the sky assumes almost as great a significance as the scene beneath it.	What does the sky assume almost as beneath it?	as great a significance as the scene
		His family owned a dye-works, from which he derived his considerable wealth, and he amassed a fascinating collection of works by other artists	Whose family owned a dye-works?	Jan van de Cappelle's family
		Although carefully composed, van de Cappelle's paintings seem to give the impression of a scene glimpsed suddenly by cutting off parts of ships on one or both sides of the composition- as here on the left.	What do Van de Cappelle's paintings seem to give the impression of?	of a scene glimpsed suddenly by cutting off parts of ships on one or both sides of the composition- as here on the left
