img	comment	related text	question	answer
04908-jacob.jpg	This extensive landscape serves as the setting for the biblical love story of Jacob and Rachel visible in the left foreground. During his journey home from Canaan, Jacob encounters a group of shepherds near a well awaiting the stone to be removed to water their flocks. It is here that Jacob will soon meet and fall in love with his future wife, Rachel, who can be seen approaching the group with her flock of sheep.Bol treated this subject on a few occasions in 1592-93			
		It is here that Jacob will soon meet and fall in love with his future wife, Rachel, who can be seen approaching the group with her flock of sheep.	Who is Rachel?	Jacob and Rachel visible's future wife
		This extensive landscape serves as the setting for the biblical love story of Jacob and Rachel visible in the left foreground.	What serves as the setting for the biblical love story of Jacob and Rachel visible in the left foreground?	this extensive landscape
		It is here that Jacob will soon meet and fall in love with his future wife, Rachel, who can be seen approaching the group with her flock of sheep.	Who is Jacob and Rachel visible's future wife?	Rachel
32537-adoratio.jpg	This painting, still in its original frame, is a typical example of the 'colmi da camera,' which were small curved-top tabernacles for personal devotion. These were produced in series and destined to a broad range of patrons			
		This painting, still in its original frame, is a typical example of the ` colmi da camera, ' which were small curved-top tabernacles for personal devotion.	What is a typical example of the ` colmi da camera, ' which were small curved-top tabernacles for personal devotion?	this painting
		These were produced in series and destined to a broad range of patrons	What were produced in series?	these
		This painting, still in its original frame, is a typical example of the ` colmi da camera, ' which were small curved-top tabernacles for personal devotion.	What is the painting still in?	still in its original frame
34770-5relate6.jpg	In 1880 Rodin was commissioned to produce an ornamental portal for the future Museum of Decorative Arts and conceived the monumental composition The Gates of Hell, inspired by Dante and Baudelaire. That sculptural group was never finished, but many of the figures created for it acquired an independent significance and became outstanding sculptures in their own right. The Sinner, a version of which is the present study (cast in 1966), is connected with the same project			
		In 1880 Rodin was commissioned to produce an ornamental portal for the future Museum of Decorative Arts and conceived the monumental composition The Gates of Hell, inspired by Dante and Baudelaire.	Who conceived the monumental composition The Gates of Hell?	Rodin
		That sculptural group was never finished, but many of the figures created for it acquired an independent significance and became outstanding sculptures in their own right.	What acquired an independent significance?	many of the figures created for that sculptural group
		In 1880 Rodin was commissioned to produce an ornamental portal for the future Museum of Decorative Arts and conceived the monumental composition The Gates of Hell, inspired by Dante and Baudelaire.	What did Rodin conceive the monumental composition The Gates of?	of Hell
		The Sinner, a version of which is the present study (cast in 1966), is connected with the same project	What is the Sinner connected with?	with the same project
		In 1880 Rodin was commissioned to produce an ornamental portal for the future Museum of Decorative Arts and conceived the monumental composition The Gates of Hell, inspired by Dante and Baudelaire.	Who was commissioned to produce an ornamental portal for the future Museum of Decorative Arts?	Rodin
		The Sinner, a version of which is the present study (cast in 1966), is connected with the same project	What is the Sinner?	a version of which is the present study
21378-aurora.jpg	This painting, possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house, is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam			
		This painting, possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house, is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam	Who is the painting possibly commissioned by for a large Amsterdam canal house?	by a burgomaster of Amsterdam
		This painting, possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house, is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam	What is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam?	this painting
		This painting, possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house, is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam	What is the painting possibly commissioned by a burgomaster of Amsterdam for?	for a large Amsterdam canal house
		This painting, possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house, is one of the first and most impressive examples of De Lairesse's work as a decorative painter in Amsterdam	What is possibly commissioned by a burgomaster of Amsterdam for a large Amsterdam canal house?	the painting
19046-satyr.jpg	This picture, depicting a Satyr squeezing juice from a bunch of grapes, is an example of the rare work of David de Haen, one of the central figures in Rome in the decade immediately following the death of Caravaggio, and an important link between Italy and the North through his interpretation of Caravaggism.			
33503-08portra.jpg	Catalogue number: Bredius 333.Rembrandt depicted more frequently the members of Saskia's family than his own relatives. This sixty-two-year-old woman in a white cap was identified as Aeltje Pietersdr. Uylenburgh (c. 1570-1644), Saskia's older cousin, wife of Jan Cornelisz. Sylvius. Rembrandt also portrayed the husband in two etchings			
		Rembrandt also portrayed the husband in two etchings	Who also portrayed the husband in two etchings?	Rembrandt
		Rembrandt also portrayed the husband in two etchings	Who did Rembrandt also portray?	the husband in two etchings
		Catalogue number: Bredius 333.	What: Bredius 333?	catalogue number
		Catalogue number: Bredius 333.	What does catalogue number: bredius?	333
		This sixty-two-year-old woman in a white cap was identified as Aeltje Pietersdr.	Who was identified as Aeltje Pietersdr?	this sixty-two-year-old woman in a white cap
32050-croesus.jpg	The subject is taken from the Greek author Herodotus. Croesus, king of Lydia, whose riches were proverbial, was said to have been visited by Solon (638-558 BC) the Athenian sage. The words of Solon - that the humble, when blessed with good fortune, were happier than Croesus with all his wealth - earned the king's displeasure. Later the Persian king Cyrus conquered Lydia and built a pyre for his vanquished foe. About to be burned alive, Croesus remembered the wisdom of Solon and thrice called out his name, which so roused the curiosity of Cyrus that he spared his victim's life.Willem de Poorter's painting illustrates the conversation between Croesus and Solon. Between the king and sage, a third man can be seen straining his neck to glimpse the splendour on display. A variety of vessels and urns, all elaborately embellished and shining with gold, lie scattered on the floor and on a table covered in dark red velvet			
		About to be burned alive, Croesus remembered the wisdom of Solon and thrice called out his name, which so roused the curiosity of Cyrus that he spared his victim's life.	What roused the curiosity of Cyrus that he spared his victim's life?	Croesus's name
		About to be burned alive, Croesus remembered the wisdom of Solon and thrice called out his name, which so roused the curiosity of Cyrus that he spared his victim's life.	What did Croesus's name rouse the curiosity of Cyrus that he spared?	his victim's life
		A variety of vessels and urns, all elaborately embellished and shining with gold, lie scattered on the floor and on a table covered in dark red velvet	What lie scattered on the floor and on a table covered in dark red velvet?	a variety of vessels and urns
		The words of Solon- that the humble, when blessed with good fortune, were happier than Croesus with all his wealth- earned the king's displeasure.	What earned the king's displeasure?	the words of Solon- that the humble were happier than Croesus with all his wealth-
		The subject is taken from the Greek author Herodotus.	What is taken from the Greek author Herodotus?	the subject
		About to be burned alive, Croesus remembered the wisdom of Solon and thrice called out his name, which so roused the curiosity of Cyrus that he spared his victim's life.	What did Croesus's name rouse that he spared his victim's life?	the curiosity of Cyrus
13501-zodiac05.jpg	In astronomy, the zodiac is the ring of constellations that lines the ecliptic, which is the apparent path of the Sun across the sky over the course of the year. The twelve signs of the zodiac are the following:Aries (The Ram)Taurus (The Bull)Gemini (The Twins)Cancer (The Crab)Leo (The Lion)Virgo (The Virgin)Libra (The Scales)Scorpio (The Scorpion)Sagittarius (The Archer)Capricorn (The Sea-Goat)Aquarius (The Water Bearer)Pisces (The Fishes			
