img	comment	related text	question	answer
08737-cascade2.jpg	The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond			
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What is the foreground?	a house
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What does the painting depict atop the cliff and an aqueduct beyond?	a view of the large cascade with fishermen in the foreground
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What does the painting depict a view of the large cascade with fishermen in the foreground atop beyond?	atop the cliff and an aqueduct
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What is a house?	the foreground
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What does the painting depict a view of atop the cliff and an aqueduct beyond?	of the large cascade with fishermen in the foreground
		The painting depicts a view of the large cascade with fishermen in the foreground, a house atop the cliff and an aqueduct beyond	What depicts a view of the large cascade with fishermen in the foreground atop the cliff and an aqueduct beyond?	the painting
34419-jeffreys.jpg	"George Jeffreys, 1st Baron Jeffreys (1645-1689) was an English judge notorious for his cruelty and corruption. He presided over the ""Bloody Assizes"" of 1685 following the failure of the duke of Monmouth's rebellion and was in charge of executing the unpopular religious policy of the Roman Catholic king James II"			
		He presided over the'' ``Bloody Assizes'''' of 1685 following the failure of the duke of Monmouth's rebellion and was in charge of executing the unpopular religious policy of the Roman Catholic king James II''	Who presided over the ``Bloody Assizes'''' of 1685 following the failure of the duke of Monmouth's rebellion?	George Jeffreys
		He presided over the'' ``Bloody Assizes'''' of 1685 following the failure of the duke of Monmouth's rebellion and was in charge of executing the unpopular religious policy of the Roman Catholic king James II''	Who was George Jeffreys in charge of executing the unpopular religious policy of the Roman Catholic king?	James II
		``George Jeffreys, 1st Baron Jeffreys was an English judge notorious for his cruelty and corruption.	Who was 1st Baron Jeffreys?	George Jeffreys
		``George Jeffreys, 1st Baron Jeffreys was an English judge notorious for his cruelty and corruption.	Who was George Jeffreys?	1st Baron Jeffreys
		He presided over the'' ``Bloody Assizes'''' of 1685 following the failure of the duke of Monmouth's rebellion and was in charge of executing the unpopular religious policy of the Roman Catholic king James II''	What was George Jeffreys in James II?	in charge of executing the unpopular religious policy of the Roman Catholic king
		He presided over the'' ``Bloody Assizes'''' of 1685 following the failure of the duke of Monmouth's rebellion and was in charge of executing the unpopular religious policy of the Roman Catholic king James II''	Who was in charge of executing the unpopular religious policy of the Roman Catholic king James II?	George Jeffreys
44142-int_cave.jpg	On this panel an interior of a cave with women washing their laundry in a stream is depicted. It is signed lower centre: Twijck			
		On this panel an interior of a cave with women washing their laundry in a stream is depicted.	What is an interior of a cave with women washing their laundry in a stream depicted on?	on this panel
		It is signed lower center: Twijck	What is signed lower center: Twijck?	it
14402-allegory.jpg	During Napoleon's Egypt campaign in 1798-99, after their victory over the Mameluks near the pyramids in 1798, the French took Cairo., but the same year the victory of the English fleet under Admiral Nelson at Abukir prevented their retreat., Napoleon's army was cut off. In 1799 the French fought on into Syria, but Napoleon had to withdraw from Egypt in 1801. After his return to Paris the Directorate was brought down. In his painting David's pupil Franque allegorised the condition of France at the turn of the 18th and 19th centuries in retrospect, relativizing Napoleon's heroic deed in a grandiose manner. The painting was probably a joint production by Jean-Pierre and his twin brother Joseph			
		In his painting David's pupil Franque allegorised the condition of France at the turn of the 18th and 19th centuries in retrospect, relativizing Napoleon's heroic deed in a grandiose manner.	What did David's pupil Franque allegorise the condition of France at?	at the turn of the 18th and 19th centuries in retrospect
		After his return to Paris the Directorate was brought down.	What was brought down after Napoleon's return to Paris?	the Directorate
		In his painting David's pupil Franque allegorised the condition of France at the turn of the 18th and 19th centuries in retrospect, relativizing Napoleon's heroic deed in a grandiose manner.	What did David's pupil Franque relativize Napoleon's heroic deed in?	in a grandiose manner
		In 1799 the French fought on into Syria, but Napoleon had to withdraw from Egypt in 1801.	What fought on into Syria in 1799?	the French
		In his painting David's pupil Franque allegorised the condition of France at the turn of the 18th and 19th centuries in retrospect, relativizing Napoleon's heroic deed in a grandiose manner.	Who allegorised the condition of France at the turn of the 18th and 19th centuries in retrospect?	David's pupil Franque
		In 1799 the French fought on into Syria, but Napoleon had to withdraw from Egypt in 1801.	When did the French fight on into Syria?	in 1799
30241-10verone.jpg	This painting is a copy of a lost original self-portrait which also acted as a model for Carlo Ridolfi's engraving			
		This painting is a copy of a lost original self-portrait which also acted as a model for Carlo Ridolfi's engraving	What is a copy of a lost original self-portrait which also acted as a model for Carlo Ridolfi's engraving?	this painting
