img	comment	related text	question	answer
10699-portrait.jpg	The little archduchess (1816-1867), later queen of Naples and Sicily (1837&#151;1860), was portrayed when she was approximately three years old. Maria Theresia was the daughter of Archduke Karl (1771-1847), the victor of Aspern, and of Archduchess Henriette of Nassau-Weilburg (1797&#151;1829).The portrait is a slightly modified copy of a painting by Thomas Lawrence in the Kunsthistorisches Museum, Vienna. In the copy, which he is thought to have executed in 1819, Daffinger adopted the English manner of painting, but deviated from the original in what the portrait expresses and in the execution of the park landscape in the background			
		The portrait is a slightly modified copy of a painting by Thomas Lawrence in the Kunsthistorisches Museum, Vienna.	Where is the portrait a slightly modified copy of a painting by Thomas Lawrence?	in the Kunsthistorisches Museum
		The portrait is a slightly modified copy of a painting by Thomas Lawrence in the Kunsthistorisches Museum, Vienna.	What is the Kunsthistorisches Museum?	Vienna
		Maria Theresia was the daughter of Archduke Karl, the victor of Aspern, and of Archduchess Henriette of Nassau-Weilburg.	Who was the daughter of Archduke Karl, the victor of Aspern, and of Archduchess Henriette of Nassau-Weilburg?	Maria Theresia
		The portrait is a slightly modified copy of a painting by Thomas Lawrence in the Kunsthistorisches Museum, Vienna.	What is the portrait a slightly modified copy of in the Kunsthistorisches Museum?	of a painting by Thomas Lawrence
		Maria Theresia was the daughter of Archduke Karl, the victor of Aspern, and of Archduchess Henriette of Nassau-Weilburg.	Who was Maria Theresia?	the daughter of Archduke Karl, the victor of Aspern, and of Archduchess Henriette of Nassau-Weilburg
		The little archduchess, later queen of Naples and Sicily, was portrayed when she was approximately three years old.	What was the little archduchess later queen of?	of Naples and Sicily
04923-erdmann.jpg	The Jagdschloss Grunewald is a relatively modest hunting lodge in Berlin begun by the Kurfurst Joachim II of Brandenburg in the early sixteenth century. It is located in the woods, close to the city's suburbs. Many Dutch, Flemish, and German painting - mostly dating between the sixteenth and early eighteenth centuries - decorates the building. One of these paintings is the eccentric portrait of the little Erdmann August, Crown Prince of Brandenburg-Bayreuth, holding a tender spray of rosebuds.Heinrich Bollandt was a portrait and altar painter in Bayreuth, L�beck, and Berlin			
		One of these paintings is the eccentric portrait of the little Erdmann August, Crown Prince of Brandenburg-Bayreuth, holding a tender spray of rosebuds.	What holds a tender spray of rosebuds?	one of these paintings
		Heinrich Bollandt was a portrait and altar painter in Bayreuth, Lbeck, and Berlin	Who was a portrait and altar painter in Bayreuth, Lbeck, and Berlin?	Heinrich Bollandt
		Many Dutch, Flemish, and German painting- mostly dating between the sixteenth and early eighteenth centuries- decorates the building.	What decorates the building?	many Dutch, Flemish, and German painting
		Heinrich Bollandt was a portrait and altar painter in Bayreuth, Lbeck, and Berlin	What was Heinrich Bollandt in Bayreuth, Lbeck, and Berlin?	a portrait and altar painter
		It is located in the woods, close to the city's suburbs.	Who is located in the woods?	the Jagdschloss Grunewald
		One of these paintings is the eccentric portrait of the little Erdmann August, Crown Prince of Brandenburg-Bayreuth, holding a tender spray of rosebuds.	What is the eccentric portrait of the little Erdmann August, Crown Prince of Brandenburg-Bayreuth?	one of these paintings
