img	comment	related text	question	answer
23797-1early03.jpg	This painting was exhibited at the 1861 Salon, together with the Spanish Singer, which received a 'mention honorable.			
		This painting was exhibited at the 1861 Salon, together with the Spanish Singer, which received a ` mention honorable.	What was exhibited at the 1861 Salon?	this painting
		This painting was exhibited at the 1861 Salon, together with the Spanish Singer, which received a ` mention honorable.	Who received a ` mention honorable?	the Spanish Singer
		This painting was exhibited at the 1861 Salon, together with the Spanish Singer, which received a ` mention honorable.	What did the Spanish Singer receive?	a ` mention honorable
24968-0view5.jpg	In the nineteenth-century copy of the Sala Baronale in the Castello della Manta, the votive niche with the Crucifixion, so seemingly inappropriate to that era's notion of the knightly life of the late Middle Ages, was omitted and a throne substituted for the fireplace			
08681-07canary.jpg	Commissioned for the king by Le Normant de Tournehem, the Director of Buildings, and exhibited in the Salon of 1751, the painting subsequently became part of the collection of the Marquis de Marigny, Madame Pompadour's brother. One of Chardin's last genre scenes, it shows the painter influenced by Dutch art, using a detailed language and a delicate balance of light			
		One of Chardin's last genre scenes, it shows the painter influenced by Dutch art, using a detailed language and a delicate balance of light	What does the painter use?	a detailed language and a delicate balance of light
		One of Chardin's last genre scenes, it shows the painter influenced by Dutch art, using a detailed language and a delicate balance of light	What shows the painter influenced by Dutch art?	it
		One of Chardin's last genre scenes, it shows the painter influenced by Dutch art, using a detailed language and a delicate balance of light	Who uses a detailed language and a delicate balance of light?	the painter
11649-3doctor1.jpg	In the painted niches at the attic level stand eight monumental figures wearing Byzantine vestments and identified by Greek inscriptions. They are bare-headed and wear halos. Closest to the chancel are Sts Basil, John Chrysostom, and Gregory of Nazianzus, venerated as hierarchs in Eastern Church. Secondary to them are the doctors of the church Cyril of Alexandria and John of Damascus, as well as the church fathers Athanasius the Great and Gregory of Nyssa. The eighth figure is St Nicolas of Myra.The patriarchs' bright colours and animated faces have been traced to Venetian precedents; however, the pattern for the overall arrangement could have been the fifteenth-century papal portraits in the Sistine Chapel. The distinct shadows the figures cast on the wall are prefigured there.The picture shows the niche which is located above the scene Building of the Grottaferrata Monastery. It is occupied by Gregory of Nazianzus			
		They are bare-headed and wear halos.	Who are bare-headed?	they
		They are bare-headed and wear halos.	Who wear halos?	they
		They are bare-headed and wear halos.	What wear halos?	painted niches at the attic level
		The picture shows the niche which is located above the scene Building of the Grottaferrata Monastery.	What does the picture show?	the niche which is located above the scene Building of the Grottaferrata Monastery
		Closest to the chancel are Sts Basil, John Chrysostom, and Gregory of Nazianzus, venerated as hierarchs in Eastern Church.	Who is John Chrysostom, and Gregory of Nazianzus, ?	Sts Basil
		They are bare-headed and wear halos.	What do painted niches at the attic level wear?	halos
30275-1nichola.jpg	Palmerino di Guido was a collaborator of Giotto on the Legend of St Francis in the Upper Church. He executed many of the paintings in the St Nicholas Chapel of the Lower Church. This chapel is located at the end of the transept and it was built by Cardinal Napoleone Orsini at the end of the 13th century as indicated by the coat-of-arms occurring many times on the walls of the chapel			
		He executed many of the paintings in the St Nicholas Chapel of the Lower Church.	What did Palmerino di Guido execute many of?	of the paintings in the St Nicholas Chapel of the Lower Church
		Palmerino di Guido was a collaborator of Giotto on the Legend of St Francis in the Upper Church.	Who was Palmerino di Guido a collaborator of on the Legend of St Francis in the Upper Church?	of Giotto
		He executed many of the paintings in the St Nicholas Chapel of the Lower Church.	Who executed many of the paintings in the St Nicholas Chapel of the Lower Church?	Palmerino di Guido
		Palmerino di Guido was a collaborator of Giotto on the Legend of St Francis in the Upper Church.	What was Palmerino di Guido a collaborator of Giotto on the Legend of St Francis in?	in the Upper Church
		Palmerino di Guido was a collaborator of Giotto on the Legend of St Francis in the Upper Church.	Who was a collaborator of Giotto on the Legend of St Francis in the Upper Church?	Palmerino di Guido
		He executed many of the paintings in the St Nicholas Chapel of the Lower Church.	What did Palmerino di Guido execute?	many of the paintings in the St Nicholas Chapel of the Lower Church
39615-4isaac.jpg	Titian executed three ceiling paintings (Sacrifice of Isaac; Cain and Abel; David and Goliath) for the ceiling of the church Santo Spirito in Isola (now they are in the sacristy of Santa Maria della Salute in Venice). These paintings are characterized by the spiraling movement of the figures, the counterpoised poses and the strong intersecting diagonals. In these canvases we see Titian's Mannerism at its height.Following St Augustine's and St Paul's suggestion, Isaac is seen as an image for Christ's own sacrifice. The supreme acceptance of Abraham is the equivalent of justification by faith			
		The supreme acceptance of Abraham is the equivalent of justification by faith	What is the equivalent of justification by faith?	the supreme acceptance of Abraham
		Following St Augustine's and St Paul's suggestion, Isaac is seen as an image for Christ's own sacrifice.	Who follows St Augustine's and St Paul's suggestion?	Isaac
		The supreme acceptance of Abraham is the equivalent of justification by faith	What is the supreme acceptance of Abraham the equivalent of justification by?	by faith
		The supreme acceptance of Abraham is the equivalent of justification by faith	What is the supreme acceptance of Abraham by faith?	the equivalent of justification
		Following St Augustine's and St Paul's suggestion, Isaac is seen as an image for Christ's own sacrifice.	What is Isaac seen as?	as an image for Christ's own sacrifice
		Following St Augustine's and St Paul's suggestion, Isaac is seen as an image for Christ's own sacrifice.	What does Isaac follow?	St Augustine's and St Paul's suggestion
23524-virgin_s.jpg	Machuca's strong Mannerist tendencies are evident in this painting			
		Machuca's strong Mannerist tendencies are evident in this painting	What are Machuca's strong Mannerist tendencies evident in?	in this painting
23257-03rossi2.jpg	Lotto's beginnigs were probably with Bellini, but by 1505 he already showed astonishing originality. This small allegorical scene, which originally served as a hinged panel covering a portrait of Bernardo de' Rossi, Bishop of Treviso (now in the Naples Museum), is comparable in its scale and strangeness of mood to the 'poesie' of Giorgione and may even anticipate them in date.The churchman's shield facing to the left signifies that during his life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning. In contrast, on the right, are symbolized disaster and dissipation in the shipwreck, storm, and wine-loving satyr			
		Lotto's beginnigs were probably with Bellini, but by 1505 he already showed astonishing originality.	When did Bellini show astonishing originality?	by 1505
		The churchman's shield facing to the left signifies that during his life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning.	Whose life does the churchman's shield facing to the left signify during?	that during Bellini's life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning
		Lotto's beginnigs were probably with Bellini, but by 1505 he already showed astonishing originality.	Who were probably with Bellini?	Lotto's beginnigs
		Lotto's beginnigs were probably with Bellini, but by 1505 he already showed astonishing originality.	Who showed astonishing originality by 1505?	Bellini
		The churchman's shield facing to the left signifies that during his life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning.	What does the churchman's shield facing to the left signify during?	that during Bellini's life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning
		The churchman's shield facing to the left signifies that during his life he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning.	Whose life does the churchman's shield facing to the left signify that during he chose the narrow path of learning and virtue symbolized by the child with instruments indicating learning?	during Bellini's life
15475-2ogniss.jpg	This version of the Last Supper, executed in the refectory of the convent of the Ognissanti was executed in the same year as the St Jerome in the church. It is a famous example of the Tuscan tradition of depicting the Last Supper in monastic refectories.The scene is ample and characterized by vivid, animated lines, as was his style, but it draws on the structural organization that was characteristic of Andrea del Castagno. The spirit is typical of Ghirlandaio, who as ever remains rather psychologically superficial and uninterested in any form of dramatic expression. Jesus and the disciples are not particularly characterized and seem peaceful and rather at ease; even Judas, who though seated on his own in front of Christ, according to tradition, has a serene countenance and composed posture. The figures are sitting isolated next to each other in a row, and are not connected in any inner way. The epochal step taken by Leonardo with the communicating figures in his version in the refectory of the Santa Maria delle Grazie, Milan, becomes evident when comparing the two paintings. However, the overall effect is agreeable and there are some ingenious touches.The lunettes offer an easy opportunity to the expert painter - a view of trees in a Tuscan garden beyond the wall; fruit-trees, cypresses, and an isolated palm-tree that appears rather incongruous in the surroundings. To the right, a peacock perches on a windowsill, while other birds flutter around in the crystalline air. The table is covered by a white tablecloth with blue embroidery. Plates, decanters, glasses, saltcellars and knives are carefully arranged in front of each table-guest, as are the bread and cherries. It might even be the realistic and serene representation of a Florentine table of the period			
		This version of the Last Supper, executed in the refectory of the convent of the Ognissanti was executed in the same year as the St Jerome in the church.	What was executed in the refectory of the convent of the Ognissanti?	the Last Supper
		The figures are sitting isolated next to each other in a row, and are not connected in any inner way.	What are the figures sitting isolated next to each other in?	in a row
		It might even be the realistic and serene representation of a Florentine table of the period	What might the table even be the realistic and serene representation of?	of a Florentine table of the period
		The spirit is typical of Ghirlandaio, who as ever remains rather psychologically superficial and uninterested in any form of dramatic expression.	Who remains rather psychologically superficial and uninterested in any form of dramatic expression?	Ghirlandaio
		The scene is ample and characterized by vivid, animated lines, as was his style, but it draws on the structural organization that was characteristic of Andrea del Castagno.	What does the scene draw on?	on the structural organization that was characteristic of Andrea del Castagno
