img	comment	related text	question	answer
10857-060load.jpg	Daumier often painted urban labourers under the Second Empire. There are several versions on the theme of the washerwoman. Two of them - one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg/Scharf, Berlin, now in Hermitage, St. Petersburg are very similar			
		Two of them- one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg\/Scharf, Berlin, now in Hermitage, St. Petersburg are very similar	Who is Berlin?	Gerstenberg\/Scharf
		Two of them- one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg\/Scharf, Berlin, now in Hermitage, St. Petersburg are very similar	What is Hermitage?	St. Petersburg
		Daumier often painted urban labourers under the Second Empire.	Who often painted urban labourers under the Second Empire?	Daumier
		Two of them- one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg\/Scharf, Berlin, now in Hermitage, St. Petersburg are very similar	What are very similar?	two of there- one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg\/Scharf in Hermitage
		Daumier often painted urban labourers under the Second Empire.	What did Daumier often paint urban labourers under?	under the Second Empire
		Two of them- one treauured in the National Gallery in Prague and one from the Collection of Gerstenberg\/Scharf, Berlin, now in Hermitage, St. Petersburg are very similar	What is Gerstenberg\/Scharf?	Berlin
20092-19hooch.jpg	This work dates from Pieter de Hooch's best period, 1654-62, when he worked in Delft. During these years he painted tranquil scenes of bourgeois domesticity and conversation pieces set in clearly lit interiors, courtyards, or small gardens. His subtle construction of space in depth and his refined use of lighting create an almost lyrical effect, and his style directly anticipates that of Vermeer			
		This work dates from Pieter de Hooch's best period, 1654-62, when he worked in Delft.	When is 1654-62?	Pieter de Hooch's best period
		This work dates from Pieter de Hooch's best period, 1654-62, when he worked in Delft.	Whose best period is 1654-62?	Pieter de Hooch's best period
		During these years he painted tranquil scenes of bourgeois domesticity and conversation pieces set in clearly lit interiors, courtyards, or small gardens.	What did conversation pieces set in clearly light?	interiors, courtyards, or small gardens
		This work dates from Pieter de Hooch's best period, 1654-62, when he worked in Delft.	What is Pieter de Hooch's best period?	1654-62
		This work dates from Pieter de Hooch's best period, 1654-62, when he worked in Delft.	What dates from Pieter de Hooch's best period?	this work
		During these years he painted tranquil scenes of bourgeois domesticity and conversation pieces set in clearly lit interiors, courtyards, or small gardens.	What lit interiors, courtyards, or small gardens?	conversation pieces set in clearly
24195-visit.jpg	Ludovico Marchetti, trained in the studio of Mariano Fortuny, was a specialist in genre paintings			
		Ludovico Marchetti, trained in the studio of Mariano Fortuny, was a specialist in genre paintings	Who was trained in the studio of Mariano Fortuny?	Ludovico Marchetti
		Ludovico Marchetti, trained in the studio of Mariano Fortuny, was a specialist in genre paintings	Who was a specialist in genre paintings?	Ludovico Marchetti
		Ludovico Marchetti, trained in the studio of Mariano Fortuny, was a specialist in genre paintings	Who was Ludovico Marchetti?	a specialist in genre paintings
		Ludovico Marchetti, trained in the studio of Mariano Fortuny, was a specialist in genre paintings	What was Ludovico Marchetti trained in?	in the studio of Mariano Fortuny
11382-greathal.jpg	Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651			
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	Whose painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651?	Van Delen's painting
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	Who does Van Delen's painting show the Great Hall of in The Hague during the Great Assemby of the States-General in 1651?	of the Binnenhof
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	What does Van Delen's painting show the Great Hall of the Binnenhof in during the Great Assemby of the States-General in 1651?	in The Hague
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	What does Van Delen's painting show the Great Hall of the Binnenhof in The Hague during?	during the Great Assemby of the States-General in 1651
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	Where does Van Delen's painting show the Great Hall of the Binnenhof during the Great Assemby of the States-General in 1651?	in The Hague
		Van Delen's painting shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651	What shows the Great Hall of the Binnenhof in The Hague during the Great Assemby of the States-General in 1651?	Van Delen's painting
15340-poggio2.jpg	The picture shows the wall decoration in one of the rooms in the south wing of the Villa Poggio Imperiale.The dominant motif of the painted structuring of the walls is a row of Ionic columns, between which are simulated medallions, statues of Vesta, Athena, and Mansuetudo (Clemency), and four reliefs of a classical stamp illustrating values, gifts, and virtues associated with the founding of the Imperium Romanum. The relief above the fireplace in the present picture represents Hercules and Fortuna			
		The picture shows the wall decoration in one of the rooms in the south wing of the Villa Poggio Imperiale.	What shows the wall decoration in one of the rooms in the south wing of the Villa Poggio Imperiale?	the picture
		The picture shows the wall decoration in one of the rooms in the south wing of the Villa Poggio Imperiale.	What does the picture show?	the wall decoration in one of the rooms in the south wing of the Villa Poggio Imperiale
		The relief above the fireplace in the present picture represents Hercules and Fortuna	What represents Hercules and Fortuna?	the relief above the fireplace in the present picture
		The relief above the fireplace in the present picture represents Hercules and Fortuna	Who does the relief above the fireplace in the present picture represent?	Hercules and Fortuna
11145-1870s_10.jpg	"In the fall of 1872, Degas traveled to America with his brother Ren�, in order to visit two other brothers who settled as cotton traders in New Orleans. He remained there until April 1873. He found the exoticism of the ""colonial"" society of New Orleans very attractive.Apart from a few portraits of relatives, Degas painted only one major work in New Orleans, The Cotton Exchange in New Orleans. This is a painting of interiors, revealing a new and very elaborate approach to group portraits. The artist's uncle, Monsieur Musson, sits in the foreground, wearing a top hat and testing cotton samples. Ren� de Gas sits behind him, reading a newspaper, while the other brother, Achille, leans on the frame of a glass partition on the left.This painting is one of Degas's most mature works in his naturalistic style"			
		Ren de Gas sits behind him, reading a newspaper, while the other brother, Achille, leans on the frame of a glass partition on the left.	Who reads a newspaper?	Ren de Gas
		He found the exoticism of the'' ``colonial'''' society of New Orleans very attractive.	What did Degas find'' society of New Orleans very attractive?	the exoticism of the ``colonial''
		Apart from a few portraits of relatives, Degas painted only one major work in New Orleans, The Cotton Exchange in New Orleans.	What was The Cotton Exchange in New Orleans?	New Orleans
		``In the fall of 1872, Degas traveled to America with his brother Ren, in order to visit two other brothers who settled as cotton traders in New Orleans.	Where did Degas travel with his brother Ren ``In the fall of 1872''?	to America
		He found the exoticism of the'' ``colonial'''' society of New Orleans very attractive.	Who found the exoticism of the ``colonial'''' society of New Orleans very attractive?	Degas
		The artist's uncle, Monsieur Musson, sits in the foreground, wearing a top hat and testing cotton samples.	Who sits in the foreground?	the artist's uncle
24988-crypt.jpg	This damaged fresco, together with a Deposition, is in the recently found 'crypt', originally the lower atrium, under the cathedral in Siena. It was attributed to Rinaldo da Siena who is considered to be identical with the Master of the Clarisse Panel. The iconography of this fresco is virtually identical to the Crucifixion above the Virgin and Child in the National Gallery, London			
		The iconography of this fresco is virtually identical to the Crucifixion above the Virgin and Child in the National Gallery, London	What is London?	the National Gallery
		It was attributed to Rinaldo da Siena who is considered to be identical with the Master of the Clarisse Panel.	What was attributed to Rinaldo da Siena who is considered to be identical with the Master of the Clarisse Panel?	it
		The iconography of this fresco is virtually identical to the Crucifixion above the Virgin and Child in the National Gallery, London	What is virtually identical to the Crucifixion above the Virgin and Child in the National Gallery?	the iconography of this fresco
		This damaged fresco, together with a Deposition, is in the recently found ` crypt ', originally the lower atrium, under the cathedral in Siena.	What is in the recently found ` crypt '?	this damaged fresco
		The iconography of this fresco is virtually identical to the Crucifixion above the Virgin and Child in the National Gallery, London	What is the National Gallery?	London
		This damaged fresco, together with a Deposition, is in the recently found ` crypt ', originally the lower atrium, under the cathedral in Siena.	What is the lower atrium?	the recently found ` crypt '
00433-restflig.jpg	The composition of this painting is close to that of a large altarpiece painted by Altomonte in 1723-24 for high altar of the church of the Carmelites (Karmeliterkirche) in Linz.The painting is signed and dated bottom right: Martino Altomonte / Pinx. Ao. 1737			
		The painting is signed and dated bottom right: Martino Altomonte \/ Pinx.	What is signed?	the painting
		The painting is signed and dated bottom right: Martino Altomonte \/ Pinx.	What is dated bottom right: Martino Altomonte \/ Pinx?	the painting
		The painting is signed and dated bottom right: Martino Altomonte \/ Pinx.	What is the painting dated?	bottom right: Martino Altomonte \/ Pinx
29674-belisari.jpg	The story of Belisarius was that of a loyal and successful general in the service of the Byzantine emperor Justinian. He had won major victories against the Vandals, Goths and Bulgarians, but he then became implicated in political intrigues, was accused of treason and disgraced. He became an outcast and was even reduced to begging; one version of the story also said that his eyes were put out.The painting shows a scene - Belisarius is recognized by one of the soldiers who served under him. The painter emphasizes the architectural setting (a stage set) and the light effects			
