img	comment	related text	question	answer
08164-immacul1.jpg	At the end of his career Castiglione produced ecstatic compositions of great intensity, reminiscent of Bernini's style of these years. One of the few documented paintings in Castiglione's career, the present Immaculate Conception was executed for the high altar of the new Capuchin church in Osimo, a small town in central Italy. The artistic genius and professional success of the Genoese painter was often overshadowed by the artist's difficult and violent personality. He reportedly threw his sister off a rooftop, sent his brother to jail, and nearly murdered his nephew in a fistfight. Yet he produced religious pictures of stunning grandeur and inspiration			
		At the end of his career Castiglione produced ecstatic compositions of great intensity, reminiscent of Bernini's style of these years.	What was great intensity?	reminiscent of Bernini's style of these years
		The artistic genius and professional success of the Genoese painter was often overshadowed by the artist's difficult and violent personality.	Whose difficult and violent personality was the artistic genius and professional success of the Genoese painter often overshadowed by?	by the artist's difficult and violent personality
		Yet he produced religious pictures of stunning grandeur and inspiration	What did Castiglione produce religious pictures of?	of stunning grandeur and inspiration
		Yet he produced religious pictures of stunning grandeur and inspiration	Who produced religious pictures of stunning grandeur and inspiration?	Castiglione
		One of the few documented paintings in Castiglione's career, the present Immaculate Conception was executed for the high altar of the new Capuchin church in Osimo, a small town in central Italy.	Who was a small town in central Italy?	Osimo
		One of the few documented paintings in Castiglione's career, the present Immaculate Conception was executed for the high altar of the new Capuchin church in Osimo, a small town in central Italy.	What was the present Immaculate Conception?	Castiglione's career
21969-3leda.jpg	This painting belongs to the school of Leonardo. Three paintings, in the style of Leonardo, of the standing Leda are known which can be closely connected to a cartoon produced by Leonardo which has not been preserved. It is uncertain when this cartoon was created and when the versions dependent on it were produced.In contrast to other variations of this theme in which Leda is a proud mother presenting her children to the swan, the process of birth has only just occurred in this painting. The cracked eggs which the pairs of twins have just hatched out of lie on the ground on either side of Leda, and they are gazing at their mother. Leda is looking at her twins hatched from one egg while with her arm she is lovingly embracing Zeus, the father of her children, in the form of a swan			
		Leda is looking at her twins hatched from one egg while with her arm she is lovingly embracing Zeus, the father of her children, in the form of a swan	Who is Zeus the father of?	of her children
		It is uncertain when this cartoon was created and when the versions dependent on it were produced.	What is uncertain when the versions dependent on it were produced?	this painting
		The cracked eggs which the pairs of twins have just hatched out of lie on the ground on either side of Leda, and they are gazing at their mother.	What lie on the ground on either side of Leda?	the cracked eggs which the pairs of twins have just hatched out of
		Three paintings, in the style of Leonardo, of the standing Leda are known which can be closely connected to a cartoon produced by Leonardo which has not been preserved.	What are three paintings in?	in the style
		The cracked eggs which the pairs of twins have just hatched out of lie on the ground on either side of Leda, and they are gazing at their mother.	What are gazing at their mother?	the cracked eggs which the pairs of twins have just hatched out of
		This painting belongs to the school of Leonardo.	What belongs to the school of Leonardo?	this painting
26663-05_6si3.jpg	The Cumaean Sibyl oppresses by the sheer weight of her bulk and a commanding ugliness. With the open folio bound in green and her two genii gazing at its pages over her shoulders she has become one of the Fates, a towering shape with human features. Whenever Sibyls are mentioned, the Cumaea at once comes to mind. In the art of Michelangelo and other painters her powerful presence overshadows every other Sibyl, even her younger and more beautiful sisters, such as the Delphica			
		Whenever Sibyls are mentioned, the Cumaea at once comes to mind.	Who are mentioned?	Sibyls
		With the open folio bound in green and her two genii gazing at its pages over her shoulders she has become one of the Fates, a towering shape with human features.	Who is a towering shape with human features?	the Fates
		With the open folio bound in green and her two genii gazing at its pages over her shoulders she has become one of the Fates, a towering shape with human features.	What is the Fates?	a towering shape with human features
		The Cumaean Sibyl oppresses by the sheer weight of her bulk and a commanding ugliness.	What does the Cumaean Sibyl oppress by?	by the sheer weight of her bulk and a commanding ugliness
		In the art of Michelangelo and other painters her powerful presence overshadows every other Sibyl, even her younger and more beautiful sisters, such as the Delphica	What overshadows every other Sibyl in the art of Michelangelo and other painters?	her powerful presence
		In the art of Michelangelo and other painters her powerful presence overshadows every other Sibyl, even her younger and more beautiful sisters, such as the Delphica	Who are such as the Delphica?	her younger and more beautiful sisters
39176-11valmar.jpg	This scene is on the wall of the room with Rustic Scenes in the Foresteria of the Villa Valmarana.The realistic figures are elegantly dressed and wear staw hats for protection from the sun			
		The realistic figures are elegantly dressed and wear staw hats for protection from the sun	What are elegantly dressed?	the realistic figures
		The realistic figures are elegantly dressed and wear staw hats for protection from the sun	What do the realistic figures wear staw hats for?	for protection from the sun
		The realistic figures are elegantly dressed and wear staw hats for protection from the sun	What wear staw hats for protection from the sun?	the realistic figures
		This scene is on the wall of the room with Rustic Scenes in the Foresteria of the Villa Valmarana.	What is on the wall of the room with Rustic Scenes in the Foresteria of the Villa Valmarana?	this scene
		The realistic figures are elegantly dressed and wear staw hats for protection from the sun	What do the realistic figures wear for protection from the sun?	staw hats
22421-5altar1.jpg	Two altars were set against the new choir screen erected in the upper chapel of the Sainte-Chapelle in Paris. They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive. Each is composed of twenty-three enamel plaques. Each panel incorporates portrait medallions of Henri II and Catherine de' Medici, the donors of the altars. The most beautiful elements are the angels bearing the instruments of the Passion, realized after drawings by Niccol&#242; dell'Abbate			
		They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.	What were decorated with altarpieces?	two altars
		They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.	What did two altars consist of?	of enamel compositions set into painted panels
		Each is composed of twenty-three enamel plaques.	What is composed of twenty-three enamel plaques?	each
		They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.	What were two altars decorated with?	with altarpieces
		They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.	What consisted of enamel compositions set into painted panels?	two altars
		They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.	What do the Crucifixion and the Resurrection survive?	painted panels
06464-11calvar.jpg	This is the largest known painting by Bruegel. For Bruegel the composition is unusually traditional. Perhaps because he was treating such a solemn religious event, he adopted a well-known scheme, used previously by Bruegel's Antwerp contemporary, Pieter Aertsen. Christ's insignificance among the crowds is a familiar device of Mannerist painting, as is the artificial placing of Mary and her companions in a rocky foreground, which is deliberately distanced from the dramatic events taking place behind them.Standing on a small hill in the foreground, the grieving friends of Christ are separated from the teeming detail of this scene, with Christ carrying the cross at its centre, and are thus brought closer to the viewer. The style of their depiction, going back to Rogier van der Weyden's paintings, also removes them from the more contemporary representation of the crowd. St John and the saint on the right (and the two mourners a little further back) originated in Rogier's Deposition (Prado, Madrid), which Bruegel can have known only from copies, since the painting itself had been taken to Spain around the middle of the 16th century.In the background, we can make out a Flemish Jerusalem on the left and the hill of Calvary on the right, with a rock and windmill of unknown significance between them			
		Perhaps because he was treating such a solemn religious event, he adopted a well-known scheme, used previously by Bruegel's Antwerp contemporary, Pieter Aertsen.	What was the well-known scheme used previously by?	by Bruegel's Antwerp contemporary
		The style of their depiction, going back to Rogier van der Weyden's paintings, also removes them from the more contemporary representation of the crowd.	What goes back to Rogier van der Weyden's paintings?	the style of this's depiction
		Perhaps because he was treating such a solemn religious event, he adopted a well-known scheme, used previously by Bruegel's Antwerp contemporary, Pieter Aertsen.	What was Pieter Aertsen?	Bruegel's Antwerp contemporary
		In the background, we can make out a Flemish Jerusalem on the left and the hill of Calvary on the right, with a rock and windmill of unknown significance between them	What can make out a Flemish Jerusalem on the left and the hill of Calvary on the right in the background?	Rogier van der Weyden's paintings
		The style of their depiction, going back to Rogier van der Weyden's paintings, also removes them from the more contemporary representation of the crowd.	What also removes Rogier van der Weyden's paintings from the more contemporary representation of the crowd?	the style of this's depiction
		Perhaps because he was treating such a solemn religious event, he adopted a well-known scheme, used previously by Bruegel's Antwerp contemporary, Pieter Aertsen.	Who adopted a well-known scheme?	Bruegel
35007-42swiss.jpg	The Convent of Saint John is an ancient Benedictine monastery in M�stair, Switzerland, and, by reason of its exceptionally well-preserved heritage of Carolingian art, has been a UNESCO World Heritage Site since 1983. Its twelfth-century frescoes are closely connected to paintings in southern Tyrol			
		Its twelfth-century frescoes are closely connected to paintings in southern Tyrol	What are closely connected to paintings in southern Tyrol?	the Convent of Saint John's twelfth-century frescoes
		Its twelfth-century frescoes are closely connected to paintings in southern Tyrol	What are the Convent of Saint John's twelfth-century frescoes closely connected to?	to paintings in southern Tyrol
		Its twelfth-century frescoes are closely connected to paintings in southern Tyrol	Whose twelfth-century frescoes are closely connected to paintings in southern Tyrol?	the Convent of Saint John's twelfth-century frescoes
		The Convent of Saint John is an ancient Benedictine monastery in Mstair, Switzerland, and, by reason of its exceptionally well-preserved heritage of Carolingian art, has been a UNESCO World Heritage Site since 1983.	What is the Convent of Saint John?	an ancient Benedictine monastery in Mstair
		The Convent of Saint John is an ancient Benedictine monastery in Mstair, Switzerland, and, by reason of its exceptionally well-preserved heritage of Carolingian art, has been a UNESCO World Heritage Site since 1983.	What is an ancient Benedictine monastery in Mstair?	the Convent of Saint John
		The Convent of Saint John is an ancient Benedictine monastery in Mstair, Switzerland, and, by reason of its exceptionally well-preserved heritage of Carolingian art, has been a UNESCO World Heritage Site since 1983.	What is Mstair?	Switzerland
39941-0view2.jpg	The walls on either side of the window are divided horizontally. At top, the Creation of the World can be seen on the left and the Creation of Adam (Jacopo Torriti) on the right. Below these are the Building of the Ark and the Boarding of the Ark (follower of Cimabue). On the walls of the nave we can see the first three stations in the life of St Francis. The illusionistic framework of the Legend of St Francis is also visible: the rich console frieze above the coffered ceiling, which is laid out in perspective and supported by twisted columns.The frescoes illustrate the complex decorative program realized in the nave of the Upper Church			
		Below these are the Building of the Ark and the Boarding of the Ark (follower of Cimabue).	What are Below these?	the Building of the Ark and the Boarding of the Ark
		The frescoes illustrate the complex decorative program realized in the nave of the Upper Church	What do the frescoes illustrate?	the complex decorative program realized in the nave of the Upper Church
		The illusionistic framework of the Legend of St Francis is also visible: the rich console frieze above the coffered ceiling, which is laid out in perspective and supported by twisted columns.	What is laid out in perspective?	the coffered ceiling
		At top, the Creation of the World can be seen on the left and the Creation of Adam (Jacopo Torriti) on the right.	Where can the Creation of the World be seen at top?	on the left and the Creation of Adam on the right
		On the walls of the nave we can see the first three stations in the life of St Francis.	Who can see the first three stations in the life of St Francis on the walls of the nave?	we
		The frescoes illustrate the complex decorative program realized in the nave of the Upper Church	What illustrate the complex decorative program realized in the nave of the Upper Church?	the frescoes
31417-004siena.jpg	The picture shows the view from the window wall of the entry wall with the scenes of the presentation of Frederick III to Eleonora of Portugal and Enea Silvio Piccolomini being elevated to cardinal.Even before he built the library, Cardinal Francesco Todeschini-Piccolomini had acquired the collection of antiquities that had belonged to Prospero Colonna in Rome. One of the highlights of the collection was the famous marble group of the Three Graces. The cardinal later moved the group to the library in Siena			
		Even before he built the library, Cardinal Francesco Todeschini-Piccolomini had acquired the collection of antiquities that had belonged to Prospero Colonna in Rome.	What had Cardinal Francesco Todeschini-Piccolomini acquired in Rome?	the collection of antiquities that had belonged to Prospero Colonna
		Even before he built the library, Cardinal Francesco Todeschini-Piccolomini had acquired the collection of antiquities that had belonged to Prospero Colonna in Rome.	Who built the library?	Eleonora
		One of the highlights of the collection was the famous marble group of the Three Graces.	What was one of the highlights of the collection?	the famous marble group of the Three Graces
		The picture shows the view from the window wall of the entry wall with the scenes of the presentation of Frederick III to Eleonora of Portugal and Enea Silvio Piccolomini being elevated to cardinal.	What does the picture show from the window wall of the entry wall with the scenes of the presentation of Frederick III to Eleonora of Portugal and Enea Silvio Piccolomini being elevated to cardinal?	the view
		Even before he built the library, Cardinal Francesco Todeschini-Piccolomini had acquired the collection of antiquities that had belonged to Prospero Colonna in Rome.	When had Cardinal Francesco Todeschini-Piccolomini acquired the collection that had belonged to Prospero Colonna in Rome?	of antiquities
		Even before he built the library, Cardinal Francesco Todeschini-Piccolomini had acquired the collection of antiquities that had belonged to Prospero Colonna in Rome.	Where had Cardinal Francesco Todeschini-Piccolomini acquired the collection of antiquities that had belonged to Prospero Colonna?	in Rome
